finding,ICD10_code,PFx,Word Count ,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,ICD10_trimmed,pfx_trimmed ,relaxed_pfx_accuracy,agent_trimmed,relaxed_agent_accuracy,relaxed_accuracy,relaxed_overall_score
Bladder Cyst,R93.4,"So, during your medical check-up, the doctors found something called a bladder cyst. It's kind of like a small bubble or sac that forms in your bladder. This cyst is filled with fluid. Most of the time, these bladder cysts don't cause any problems and don't turn into anything serious. It’s as if your bladder has a tiny water balloon inside. Often, people don't even know they have one because it doesn’t cause pain or problems. But it’s important to know it’s there, and your doctor may watch it over time just to be safe.",95,N28.9,N28.89,FALSE,FALSE,83.05,0,0,0,1.95,0.06779661017,R93,N28,0,N28,0,0,0.06779661017
Bladder Calculus,N21.0,"Bladder calculus means small, hard lumps form in the bladder. These are like little stones. They happen when pee has too many minerals, and they stick together. Think of it like tiny snowballs growing bigger. Little stones might not hurt, but big ones can cause trouble. They can make it hard or painful to pee. Sometimes, they stop pee from coming out. It's a bit like having a tiny stone in your shoe. It's annoying, so it's good to tell a grown-up and find out what to do next.",89,N21.0,N21.0,TRUE,TRUE,95.27,1,1,1,10.27,1.617746229,N21,N21,1,N21,1,1,1.617746229
Bladder Cancer,C67.9,"Bladder cancer is a condition where unusual cells grow in the bladder, a little organ that holds pee. It's like some pesky weeds try to take over a nice lawn, but in your bladder. This might cause problems like needing to pee all the time or noticing blood in your pee. Doctors will check your bladder to understand what's happening inside it. They might use special tools to look and see how things are going. It's essential to learn more about this and understand what kind of care is needed.",90,C67.9,C67.9,TRUE,TRUE,81.63,1,1,1,3.37,1.64576659,C67,C67,1,C67,1,1,1.64576659
Bladder Diverticula,N32.3,"Bladder diverticula are like little pockets or bubbles in the bladder wall. Think of the bladder like a ball. Sometimes, parts of the ball form bulges that stick out—these are called diverticula. This happens when the bladder wall is not strong enough. It can happen if the bladder has to work harder than usual to push out urine. Most people with bladder diverticula feel fine, but they can sometimes lead to problems like infections. Doctors see these pockets when they look at bladder pictures, like MRI scans. It's like finding a hidden object in a picture!",96,N32.3,N32.3,TRUE,TRUE,76.22,1,1,1,8.78,1.620449898,N32,N32,1,N32,1,1,1.620449898
Neurogenic Bladder,N31.9,"A neurogenic bladder is when your bladder doesn't listen to signals from the brain well because the nerves are not working right. Normally, nerves tell the bladder when to hold pee and when to let it out. If these nerves are damaged, the messages get confused, like when a phone call is full of static and hard to understand. This might happen if someone has an illness or injury affecting the nerves. It means a person might not know when they need to go to the bathroom or they might need to go very often.",95,N31.9,N31.9,TRUE,TRUE,77.57,1,1,1,7.43,1.623724792,N31,N31,1,N31,1,1,1.623724792
Gallbladder Polyps,K82.4,"Gallbladder polyps are small bumps that grow inside your gallbladder. Your gallbladder is a little organ near your liver. It stores a juice that helps digest food. These polyps are like tiny spots you might see on a fruit. Usually, they are found by chance when taking pictures of the inside of the body for other reasons. Most of the time, these polyps do not cause problems and don't hurt. But if they get bigger, they might need to be watched more closely. Knowing about them is good, but most of the time there's no cause for concern.",98,K82.4,K82.4,TRUE,TRUE,92.83,1,1,1,7.83,1.622650057,K82,K82,1,K82,1,1,1.622650057
Cholelithiasis,K80.20,"Cholelithiasis means you have tiny stones called gallstones in your gallbladder. The gallbladder is a small organ under your liver that holds bile. Bile is a juice that helps you digest food. These stones are made of cholesterol and other things. They might just sit there quietly and not bother you. But, if they move, they might block little passages and that could hurt. Many people have gallstones and never feel a thing! This is pretty normal. You don’t usually need to worry unless they start to cause pain or other problems.",92,K80.20,K80.20,TRUE,TRUE,86.5,1,1,1,1.5,1.68,K80,K80,1,K80,1,1,1.68
Gallstones,K80.20,"Gallstones are tiny, hard lumps that can form in a place in your body called the gallbladder. The gallbladder is like a small bag that helps with breaking down food. When too much cholesterol gets hard, it turns into gallstones. Most people do not even know they have gallstones because they do not feel any different. But sometimes, these stones can cause pain or problems, and then a doctor might help. It is good to know about gallstones, so you can keep track of your health and stay well.",89,K80.20,K80.20,TRUE,TRUE,90.29,1,1,1,5.29,1.631796502,K80,K80,1,K80,1,1,1.631796502
Gallbladder Sludge,R93.2,"Gallbladder sludge is like a tiny build-up of thick fluids in your gallbladder. The gallbladder is a small pouch that sits under your liver and helps you digest fat by storing a liquid called bile. Sometimes, the bile gets too thick, like a milkshake left out too long, and it turns into sludge. Gallbladder sludge is not usually a big deal by itself, but if it sits around too long, it can turn into small stones or make you feel uncomfortable. Eating healthy foods and drinking water can help keep your gallbladder working smoothly.",94,K82.8,K82.8,FALSE,FALSE,77.77,0,0,0,7.23,0.02430133657,R93,K82,0,K82,0,0,0.02430133657
Gallbladder Wall Thickening,K81.9,"Gallbladder Wall Thickening means that the wall of your gallbladder is thicker than usual. The gallbladder is a small pouch that holds a juice called bile. This thickening happens when the gallbladder is swollen. Sometimes, this can happen because of an infection or if the gallbladder is irritated. You might not feel any different, and doctors often find it by accident when looking for other problems. Imagine discovering a surprise when looking for something else. Now, doctors have more clues about how to help you feel better.",87,K81.9,K82.8,FALSE,TRUE,67.35,0,1,0.5,17.65,0.8107238606,K81,K81,1,K82,0,0.5,0.8107238606
Gallbladder Tumor,D37.6,"The doctor found something growing in your gallbladder. Your gallbladder is like a little bag under your liver that keeps the juice needed for digestion. When something grows there, it can be like a rock in your shoe - a bit annoying and sometimes more serious. This growth is called a tumor. Some tumors are fine and stay quiet, while others might need more attention. But it doesn’t mean it’s cancer. More simple tests will tell us more, and doctors are there to make sure everything stays okay.",88,D37.6,D13.4,FALSE,TRUE,75.81,0,1,0.5,9.19,0.8196270854,D37,D37,1,D13,0,0.5,0.8196270854
Adenomyomatosis,K82.8,"Adenomyomatosis means there are small bumps inside your gallbladder. The gallbladder helps break down food in your tummy. These bumps are normal and usually don't cause any harm. Think of them like freckles on your skin; they are there, but they don't bother you. Doctors find these bumps when they take special pictures, like an MRI scan, of your body. Most people with adenomyomatosis do not feel sick and can continue with their everyday activities without any problems.",78,K82.8,K82.4,FALSE,TRUE,75.2,0,1,0.5,9.8,0.8185185185,K82,K82,1,K82,1,1,1.618518519
Porcelain Gallbladder,K82.8,"Porcelain gallbladder occurs when the walls of the gallbladder become thick and hard because of calcium buildup. Imagine if something soft, like a balloon, turned into a hard shell. This change happens slowly, and you might not feel any different at first. It's important because it could be linked to other health problems. Knowing about it can help you understand your health better. If you know more about it, you won't be surprised by what your doctor says. They will tell you if anything needs to be done.",88,K82.8,K82.8,TRUE,TRUE,84.07,1,1,1,0.93,1.703626943,K82,K82,1,K82,1,1,1.703626943
Gallbladder Agenesis,Q44.0,"Being born without a gallbladder means you don't have this small organ that stores bile. Bile helps in digesting food, especially fats. This happens when a baby is growing inside the mother. Most people with this condition don’t notice any difference. It’s like having a bicycle without a basket: you might see it's not there, but the bike still works fine. Similarly, the body adjusts well without a gallbladder, and you can live normally. You're basically riding through life just fine without that little basket, or in this case, your gallbladder.",91,Q44.0,Q44.0,TRUE,TRUE,66.74,1,1,1,18.26,1.610384216,Q44,Q44,1,Q44,1,1,1.610384216
Intestinal Polyp,K63.5,"An intestinal polyp is like a small bump that forms inside your digestive system, often in your large intestine. Think of it like a little mushroom growing in a yard. These are quite common, and many people have them at some point. Most of the time, they are harmless and don't cause problems. But, sometimes, they can change and become more serious. It's important to keep an eye on them to make sure they stay harmless. Doctors might check them or may choose to remove them to keep you healthy.",90,K63.5,K63.5,TRUE,TRUE,83.76,1,1,1,1.24,1.689285714,K63,K63,1,K63,1,1,1.689285714
Diverticulosis,K57.30,"Diverticulosis is when tiny pockets form in the wall of the colon. Think of the colon like a long tube, and these pockets are like small balloons that stick out from weak spots on the tube. Most people with diverticulosis don't feel any different and have no problems. It's a common thing, especially for older people. To help keep your colon healthy, it’s good to eat foods high in fiber, like fruits and vegetables, drink lots of water, and take walks or other exercises. These habits can help stop any future trouble with the colon.",95,K57.30,K57.30,TRUE,TRUE,80.82,1,1,1,4.18,1.638610039,K57,K57,1,K57,1,1,1.638610039
Appendicitis,K35.80,"Appendicitis is when your appendix gets swollen and painful. The appendix is a tiny tube at the start of your large intestine. Picture it like a straw that got bent, making your stomach hurt. This often happens when it gets blocked by something, like a hard piece of poop. Then germs can cause more problems, making your tummy hurt and feel hot. It is important for doctors to check it quickly so it doesn’t get worse. Usually, doctors remove the appendix with an operation called an appendectomy to help you feel better.",92,K35.80,K35.80,TRUE,TRUE,75.1,1,1,1,9.9,1.618348624,K35,K35,1,K35,1,1,1.618348624
Ileus,K56.7,"Ileus means your stomach is having trouble moving food the way it should. Think of it like a hose with a kink – things can't get through easily. This might make your stomach hurt, feel full, or it might be hard for you to go to the bathroom. Sometimes, this happens because your stomach needs a break to feel better. Doctors know how to make things go back to normal, maybe with some medicine or other ways. It's like a little rest so your stomach can start working the right way again.",92,K56.7,K56.7,TRUE,TRUE,89.89,1,1,1,4.89,1.633955857,K56,K56,1,K56,1,1,1.633955857
Bowel Wall Thickening,R93.3,"Bowel wall thickening means that the wall of your intestines, which is usually thin, has gotten thicker. Imagine your intestines like a garden hose. Normally soft and flexible, it becomes harder to bend if it gets thicker. This can happen for various reasons, like inflammation from infections or conditions like Crohn’s or colitis. Sometimes, it signals your body is fighting something or points to another condition. Doctors want to find out why this occurs to ensure your health is fine.",80,R93.3,K63.89,FALSE,TRUE,66.44,0,1,0.5,18.56,0.8102249489,R93,R93,1,K63,0,0.5,0.8102249489
Intussusception,K56.1,"Intussusception is when one part of the gut slides into the next part. It's like a telescope closing up. This can stop food and waste from moving along. It can make your belly hurt or swell up. Sometimes, doctors find it when they do a picture of your belly. This is serious because our gut helps turn food into energy. Doctors need to look carefully and decide how to help. Learning about this is important if someone feels these pains. Always tell a grown-up if your belly doesn't feel right.",90,K56.1,K56.1,TRUE,TRUE,86.71,1,1,1,1.71,1.673800738,K56,K56,1,K56,1,1,1.673800738
Crohn's Disease,K50.90,"Crohn's Disease causes swelling in your digestive system. Think of it as a tube where food goes through. Sometimes, this tube gets red and sore. It makes your tummy hurt, makes you tired, or makes using the bathroom hard. No one is sure why this happens. It could be linked to your family's health or things around you. Doctors give medicine to help people feel better. This helps with pain and swelling. People with Crohn's Disease often have to be careful about what they eat and how they live to help manage symptoms.",93,K50.90,K50.90,TRUE,TRUE,94.86,1,1,1,9.86,1.618416206,K50,K50,1,K50,1,1,1.618416206
Intestinal Wall Thickening,R93.3,"Intestinal wall thickening means the walls of your intestine are thicker than normal. Think of your intestine like a straw. If the straw's walls get thicker, it could be harder for things to go through. This can happen if the intestine is swollen, which we call inflammation. Sometimes infections can make it thicker, too. Imagine a balloon looking thicker in some spots when it’s very full. Doctors often see this when checking for other issues. It might not always mean something is wrong, but it's something to know about. It’s like a heads-up about your intestines.",96,R93.3,K63.89,FALSE,TRUE,77.53,0,1,0.5,7.47,0.8236127509,R93,R93,1,K63,0,0.5,0.8236127509
Colonic Diverticula,K57.30,"Colonic diverticula are small pockets that form in the wall of your colon, part of the large intestine. Picture them like little bumps on a garden hose. As people age, these pockets can appear more often. Usually, they don't cause any problems or pain, so many people don't even know they're there. They are often found by chance on an MRI or scan done for different reasons. Knowing about these pockets can help you understand your body better, even if they don't need attention. It's like spotting a small, harmless bump while walking a familiar path.",96,K57.30,K57.30,TRUE,TRUE,74.49,1,1,1,10.51,1.617376195,K57,K57,1,K57,1,1,1.617376195
Colonic Polyp,K63.5,"A colonic polyp is a small lump that grows inside the colon, also known as the large intestine. Imagine it like a small bump or a mushroom inside the tube that helps move food waste out of your body. Most of these lumps are not dangerous and do not cause any pain. However, it is important to check them because some can become serious over time. Going to regular check-ups can help make sure that everything in your belly stays healthy and safe.",83,K63.5,K63.5,TRUE,TRUE,80.01,1,1,1,4.99,1.633388982,K63,K63,1,K63,1,1,1.633388982
Mesenteric Cyst,R93.3,"A mesenteric cyst is a small fluid-filled sac inside your belly. It forms in a special tissue that holds your intestines, like a net holds spaghetti. This kind of cyst doesn't occur often and usually doesn’t cause any harm. Most of the time, you won’t even feel it. But sometimes, it can grow bigger and cause discomfort or press on other parts inside. Doctors often find it by chance when looking for something else. Think of it like a hidden bubble that might need attention if it gets bothersome.",89,D73.2,K66.8,FALSE,FALSE,75.5,0,0,0,9.5,0.01904761905,R93,D73,0,K66,0,0,0.01904761905
Intestinal Stricture,K56.60,"An intestinal stricture happens when part of your intestines becomes narrow. It’s like when a straw gets squeezed, and it’s hard for liquid to flow through. This narrow part makes it difficult for food to pass through your belly. Sometimes, it can make your stomach hurt or make it hard to use the bathroom. Things like swelling or an old injury can cause this to happen. Some people don’t know about it until it’s checked by a doctor, who uses special pictures, like X-rays, to look inside the body and find the narrow spot.",94,K56.60,K56.60,TRUE,TRUE,80.92,1,1,1,4.08,1.639370079,K56,K56,1,K56,1,1,1.639370079
Simple Renal Cyst,N28.1,"A simple renal cyst is a small bubble filled with liquid in your kidney. It's like a tiny water balloon. These cysts are common, especially as you get older. Most of the time, they do not cause any symptoms or problems. They are not harmful like cancer and usually do not need treatment. The cysts don't change much over time. Think of your kidney like a sponge, and the cyst is just a little bubble in it, not causing any trouble. So, it's not something you need to worry about right now.",92,N28.1,N28.1,TRUE,TRUE,85.18,1,1,1,0.18,1.769491525,N28,N28,1,N28,1,1,1.769491525
Angiomyolipoma,D30.0,"An angiomyolipoma is a kind of bump that grows in your kidneys. It's not dangerous and doesn't turn into cancer. It is made up of three things: blood vessels, muscles, and fat. Think about how a fruit smoothie has fruit, milk, and ice mixed together. Most of the time, these bumps are small and stay that way, so they don't hurt you or make you feel sick. Many people who have them don't even know. But sometimes they can grow bigger, so it's good to know about them.",88,D30.0,D30.0,TRUE,TRUE,92.53,1,1,1,7.53,1.623446659,D30,D30,1,D30,1,1,1.623446659
Hydronephrosis,N13.30,"Hydronephrosis is a condition where urine cannot leave the kidney easily. Think of it like when a sponge cannot squeeze out water. This makes the kidney swell, just like a sponge gets bigger with water. Normally, urine travels from the kidneys to the bladder through small pipes. If something blocks these pipes, urine gets stuck in the kidneys. Doctors use tests to find what is stopping the urine and fix the problem to let the urine flow again. This is important because it helps your kidneys stay healthy and work properly.",91,N13.30,N13.30,TRUE,TRUE,83.66,1,1,1,1.34,1.685470085,N13,N13,1,N13,1,1,1.685470085
Kidney Stones,N20.0,"Kidney stones are small, hard pieces that form in your kidneys, just like how a pearl forms inside an oyster. They are made from minerals and salts found in your pee. Sometimes, these stones move through your urinary tract and can cause a lot of discomfort, like a sharp pain in your back or side. They might make you feel like you need to pee more often or might hurt when you do. Don’t worry, even though they sound scary, there are ways to help manage them and feel better.",90,N20.0,N20.0,TRUE,TRUE,87.05,1,1,1,2.05,1.66557377,N20,N20,1,N20,1,1,1.66557377
Renal Atrophy,N26.1,"Renal atrophy means the kidneys are getting smaller. Imagine the kidneys as the body's water filters, like kitchen sponges. If the filters shrink, they don't clean as well. This can happen when people age or with some sicknesses. Even when small, kidneys try their best to clean blood. Though small kidneys aren't perfect, doctors can help with ways to support them, and there are things we can do to help them too. Keeping healthy can give the kidneys the support they need to keep working hard and help keep our bodies in good shape.",94,N26.1,N26.1,TRUE,TRUE,83.25,1,1,1,1.75,1.672727273,N26,N26,1,N26,1,1,1.672727273
Renal Mass,R93.4,"A renal mass is a bump or growth found on your kidney. Kidneys clean your blood like a filter. Sometimes bumps appear on them. These bumps are called masses. Not all kidney masses are bad, but it's smart to check them. Some are harmless, like freckles, while others may need attention. Doctors might do tests to learn more. Size and shape of a mass can tell us a lot. Masses are different, just like animals in a zoo. Some sit quietly, and some need a closer look. Knowing more helps doctors decide what to do next.",96,R93.4,N28.89,FALSE,TRUE,88.02,0,1,0.5,3.02,0.8497512438,R93,R93,1,N28,0,0.5,0.8497512438
Polycystic Kidney Disease,Q61.3,"Polycystic Kidney Disease, or PKD, is when little bubbles called cysts grow in the kidneys. Think of them like tiny water balloons. These cysts can stop kidneys from cleaning the blood well. The kidneys might get bigger or heavier. Sometimes people get PKD because their parents have it, or it just happens. You can take care of your kidneys by eating healthy food, drinking lots of water, and checking with doctors to make sure they stay healthy. Living a healthy life keeps kidneys strong, just like caring for a plant helps it grow.",93,Q61.3,Q61.3,TRUE,TRUE,83.36,1,1,1,1.64,1.675757576,Q61,Q61,1,Q61,1,1,1.675757576
Renal Cortical Thinning,N26.1,"Renal cortical thinning means the outer layer of your kidney, called the cortex, has become thinner. Think of your kidneys as little factories that clean your blood and control your blood pressure. The cortex is like the factory’s roof. If it gets thinner, the factory might not work as well. This doesn’t mean there is a problem now, but it can be a sign of something to watch over time. Doctors will check your health to see if anything else is needed. It’s important to keep an eye on your kidneys and see how they are doing.",97,N26.1,N28.9,FALSE,TRUE,82.75,0,1,0.5,2.25,0.8615384615,N26,N26,1,N28,0,0.5,0.8615384615
Renal Cyst with Septations,N28.1,"A renal cyst is like a little bubble with water inside that can form in the kidneys. When this bubble has thin walls inside it, it's called a cyst with septations. Imagine a clear balloon divided inside with thin layers. These walls are called septations. Even though these walls are there, many cysts with septations do not cause any problems and are harmless. Doctors might check them from time to time to make sure they don’t change. It's like keeping an eye on a balloon to see if it stays the same.",92,N28.1,N28.1,TRUE,TRUE,83.56,1,1,1,1.44,1.681967213,N28,N28,1,N28,1,1,1.681967213
Medullary Sponge Kidney,Q61.5,"Medullary Sponge Kidney is a special type of kidney where small pouches or cysts are found. Imagine them as little bubbles or tiny pockets inside the tubes of your kidneys. Your kidneys are like the cleaners of your body, removing waste and extra water. Usually, these tiny cysts don’t cause any trouble. But sometimes, they might lead to kidney stones or infections, which can be painful. It’s like when you don’t clean out a filter, things might get stuck. Staying healthy and knowing about these bubbles can help everything work smoothly inside your body.",94,Q61.5,Q61.5,TRUE,TRUE,83.25,1,1,1,1.75,1.672727273,Q61,Q61,1,Q61,1,1,1.672727273
Renal Artery Aneurysm,I72.4,"A renal artery aneurysm happens when there is a small, weak spot in an artery, which is a blood vessel that takes blood to your kidneys. Arteries are like pipes that carry this blood. If part of an artery is weak, it might stretch out like a balloon when you blow it up and make it thin. This could be a problem. Renal artery aneurysms are often found by chance when checking on something else. Doctors watch them closely, and sometimes, they don't need to be fixed right away if they are not causing trouble.",95,I72.4,I72.4,TRUE,TRUE,89.28,1,1,1,4.28,1.637878788,I72,I72,1,I72,1,1,1.637878788
Hepatic Cyst,K76.89,"A hepatic cyst is like a small bubble filled with liquid inside your liver. These bubbles are usually not dangerous and don't hurt or cause any trouble. Think of it as a tiny balloon that sits in your liver, which is an important organ that helps clean your blood and digest food. Most people with these cysts don't feel anything different and they don't need special treatment. Often, doctors find them by accident when they're checking for other things. It's good to know they're there, but they usually don't affect how your liver works.",94,K76.89,K76.89,TRUE,TRUE,72.46,1,1,1,12.54,1.614771049,K76,K76,1,K76,1,1,1.614771049
Hepatic Hemangioma,D18.09,"A hepatic hemangioma is a small blood vessel collection, or like a ball of tiny blood pathways, found in the liver. It is not harmful like a disease and is usually something you are born with. Think of it like a little harmless sponge that has been with you for a long time. Most people wouldn’t even know they have it unless a doctor finds it by accident when taking pictures of the inside of the body, such as during an MRI. It doesn’t usually cause pain or problems, and often, no treatment is needed.",95,D18.0,D18.09,TRUE,FALSE,77.57,1,0,0.5,7.43,0.8237247924,D18,D18,1,D18,1,1,1.623724792
Hepatomegaly,R16.0,"Hepatomegaly means your liver is bigger than it should be. The liver is a part of the body that helps with important jobs like burning food for energy and cleaning the blood. Think of the liver as a sponge that cleans things. If it gets too big, it can be like a sponge filled with too much water. Sometimes this happens because of sickness, drinking too much alcohol, or other problems. Doctors may need to figure out why your liver is big and think of ways to help it go back to its normal size.",95,R16.0,R16.0,TRUE,TRUE,80.82,1,1,1,4.18,1.638610039,R16,R16,1,R16,1,1,1.638610039
Liver Steatosis,K76.0,"Liver steatosis means there is extra fat in your liver. Your liver is like a big sponge that helps clean your blood and helps you digest food. Just like too much sugar in your candy jar, too much fat in the liver can be a problem. Sometimes, you won't notice anything is wrong. But if the fat keeps building up, it can make the liver sick. Eating more fruits and vegetables, playing outside more, and drinking less soda are good ways to keep your liver healthy.",86,K76.0,K76.0,TRUE,TRUE,82.34,1,1,1,2.66,1.654644809,K76,K76,1,K76,1,1,1.654644809
Liver Cirrhosis,K74.60,"Liver cirrhosis is when the liver gets scarred. Think of the liver like a soft, smooth sponge. When it has cirrhosis, it becomes more like a rough brick. This happens because the liver keeps getting hurt, often from things like germs, drinking too much alcohol, or being too heavy. These things make scars. The liver has jobs like cleaning the blood and helping the body get food energy. When it’s scarred, it doesn't work as well. But doctors can help by taking care of you and keeping things in check for better health.",93,K74.60,K74.60,TRUE,TRUE,85.08,1,1,1,0.08,1.785185185,K74,K74,1,K74,1,1,1.785185185
Liver Mass,R16.2,"When doctors look at images of the liver, they might sometimes find something called a liver mass. This is like a bump or lump that stands out from the regular liver tissue. Think of the liver as a big sponge in our body that filters things. Sometimes, part of this sponge looks a bit different. It doesn’t always mean something bad like cancer. Some liver masses can be harmless, like a little scar or a tiny benign tumor. Doctors may check more to find out exactly what it is. It’s important to stay calm and learn more.",97,R93.2,R16.0,FALSE,FALSE,84.57,0,0,0,0.43,0.1398601399,R16,R93,0,R16,1,0.5,0.9398601399
