finding,word Count,_0_flesch,accuracy,relaxed_accuracy,relaxed_overall_score
Bladder Diverticulum,2,62.48,32.24,17.12,1.67667232
Bladder Diverticulum,2,62.48,32.24,17.12,1.67667232
Bladder Diverticulum,2,70.13,36.065,19.0325,1.67655202
Bladder Mass,2,72.46,37.23,19.615,0.91020674
Bladder Mass,2,63.39,32.695,17.3475,0.91056775
Bladder Mass,2,64,33,17.5,0.91055276
Bladder Mass,2,64.41,33.205,17.6025,0.91054221
Bladder Mass,2,63.39,32.695,17.3475,0.91056775
Bladder Wall Thickening,3,64.71,33.855,18.4275,0.91053424
Bladder Wall Thickening,3,64.51,33.755,18.3775,0.91053958
Bladder Wall Thickening,3,65.42,34.21,18.605,0.91051445
Bladder Wall Thickening,3,65.42,34.21,18.605,0.91051445
Bladder Wall Thickening,3,65.42,34.21,18.605,0.91051445
Bladder Stone,2,60.85,31.425,16.7125,1.67668852
Bladder Stone,2,61.46,31.73,16.865,1.67668271
Bladder Stone,2,61.67,31.835,16.9175,1.67668064
Bladder Stone,2,61.26,31.63,16.815,1.67668464
Bladder Stone,2,61.46,31.73,16.865,1.67668271
Bladder Cyst,2,73.98,37.99,19.995,0.19672668
Bladder Cyst,2,73.68,37.84,19.92,0.19680511
Bladder Cyst,2,73.37,37.685,19.8425,0.19688231
Bladder Cyst,2,72.97,37.485,19.7425,0.19697657
Bladder Cyst,2,65.42,33.71,17.855,0.19807507
Bladder Calculus,2,70.13,36.065,19.0325,1.67655202
Bladder Calculus,2,71.85,36.925,19.4625,1.67650716
Bladder Calculus,2,72.97,37.485,19.7425,1.67647162
Bladder Calculus,2,71.95,36.975,19.4875,1.67650422
Bladder Calculus,2,82.44,42.22,22.11,1.67529611
Bladder Cancer,2,64.2,33.1,17.55,1.6766526
Bladder Cancer,2,63.7,32.85,17.425,1.67665865
Bladder Cancer,2,64.41,33.205,17.6025,1.67664998
Bladder Cancer,2,64.41,33.205,17.6025,1.67664998
Bladder Cancer,2,64.2,33.1,17.55,1.6766526
Bladder Diverticula,2,57.06,29.53,15.765,1.67671916
Bladder Diverticula,2,49.11,25.555,13.7775,1.67676301
Bladder Diverticula,2,57.67,29.835,15.9175,1.67671478
Bladder Diverticula,2,57.67,29.835,15.9175,1.67671478
Bladder Diverticula,2,57.67,29.835,15.9175,1.67671478
Neurogenic Bladder,2,35.88,18.94,10.47,1.6768052
Neurogenic Bladder,2,36.69,19.345,10.6725,1.67680327
Neurogenic Bladder,2,35.88,18.94,10.47,1.6768052
Neurogenic Bladder,2,35.47,18.735,10.3675,1.67680615
Neurogenic Bladder,2,36.49,19.245,10.6225,1.67680375
Gallbladder Polyps,2,71.55,36.775,19.3875,1.79726963
Gallbladder Polyps,2,64.51,33.255,17.6275,1.79815583
Gallbladder Polyps,2,64.51,33.255,17.6275,1.79815583
Gallbladder Polyps,2,64.41,33.205,17.6025,1.71054222
Gallbladder Polyps,2,64.91,33.455,17.7275,1.79812118
Cholelithiasis,1,78.38,39.69,20.345,1.67615431
Cholelithiasis,1,73.47,37.235,19.1175,1.67645372
Cholelithiasis,1,73.68,37.34,19.17,1.67644577
Cholelithiasis,1,70.73,35.865,18.4325,1.67653752
Cholelithiasis,1,73.68,37.34,19.17,1.67644577
Gallstones,1,72.87,36.935,18.9675,1.67647504
Gallstones,1,65.22,33.11,17.055,1.67663937
Gallstones,1,73.37,37.185,19.0925,1.67645741
Gallstones,1,69.72,35.36,18.18,1.67656132
Gallstones,1,64.41,32.705,16.8525,1.67664998
Gallbladder Sludge,2,61.87,31.935,16.9675,0.19835594
Gallbladder Sludge,2,61.26,31.63,16.815,0.19839615
Gallbladder Sludge,2,61.87,31.935,16.9675,0.19835594
Gallbladder Sludge,2,61.46,31.73,16.865,0.19838319
Gallbladder Sludge,2,70.53,36.265,19.1325,0.19744735
Gallbladder Wall Thickening,3,62.07,32.535,17.7675,0.19834231
Gallbladder Wall Thickening,3,56.76,29.88,16.44,0.1986413
Gallbladder Wall Thickening,3,54.42,28.71,15.855,0.19874135
Gallbladder Wall Thickening,3,57.06,30.03,16.515,0.19862732
Gallbladder Wall Thickening,3,54.42,28.71,15.855,0.19874135
Gallbladder Tumor,2,61.46,31.73,16.865,1.67668271
Gallbladder Tumor,2,64.71,33.355,17.6775,0.91053424
Gallbladder Tumor,2,64.71,33.355,17.6775,0.91053424
Gallbladder Tumor,2,61.46,31.73,16.865,1.67668271
Gallbladder Tumor,2,63.09,32.545,17.2725,0.91057483
Adenomyomatosis,1,54.63,27.815,14.4075,1.67673491
Adenomyomatosis,1,46.17,23.585,12.2925,1.6767748
Adenomyomatosis,1,56.45,28.725,14.8625,1.67672336
Adenomyomatosis,1,54.63,27.815,14.4075,1.71071895
Adenomyomatosis,1,54.42,27.71,14.355,1.71072155
Porcelain Gallbladder,2,51.99,26.995,14.4975,1.67674949
Porcelain Gallbladder,2,53,27.5,14.75,1.67674419
Porcelain Gallbladder,2,53,27.5,14.75,1.67674419
Porcelain Gallbladder,2,61.06,31.53,16.765,1.67668655
Porcelain Gallbladder,2,53,27.5,14.75,1.67674419
Gallbladder Agenesis,2,55.03,28.515,15.2575,1.67673249
Gallbladder Agenesis,2,54.42,28.21,15.105,1.67673616
Gallbladder Agenesis,2,53.81,27.905,14.9525,1.6767397
Gallbladder Agenesis,2,52.6,27.3,14.65,1.67674632
Gallbladder Agenesis,2,45.56,23.78,12.89,1.67677704
Intestinal Polyp,2,64.2,33.1,17.55,1.6766526
Intestinal Polyp,2,64.71,33.355,17.6775,1.67664615
Intestinal Polyp,2,64.51,33.255,17.6275,1.67664871
Intestinal Polyp,2,64.71,33.355,17.6775,1.67664615
Intestinal Polyp,2,65.73,33.865,17.9325,1.67663226
Diverticulosis,1,62.07,31.535,16.2675,1.6766766
Diverticulosis,1,60.45,30.725,15.8625,1.67669218
Diverticulosis,1,62.48,31.74,16.37,1.67667232
Diverticulosis,1,62.48,31.74,16.37,1.67667232
Diverticulosis,1,62.48,31.74,16.37,1.67667232
Appendicitis,1,45.15,23.075,12.0375,1.6767785
Appendicitis,1,46.17,23.585,12.2925,1.6767748
Appendicitis,1,45.35,23.175,12.0875,1.67677779
Appendicitis,1,45.15,23.075,12.0375,1.6767785
Appendicitis,1,45.15,23.075,12.0375,1.6767785
Ileus,1,61.67,31.335,16.1675,1.67668064
Ileus,1,63.9,32.45,16.725,1.67665626
Ileus,1,61.67,31.335,16.1675,1.67668064
Ileus,1,55.54,28.27,14.635,1.67672931
Ileus,1,61.67,31.335,16.1675,1.67668064
Bowel Wall Thickening,3,69.72,36.36,19.68,0.19757282
Bowel Wall Thickening,3,69.72,36.36,19.68,0.19757282
Bowel Wall Thickening,3,73.17,38.085,20.5425,0.19693016
Bowel Wall Thickening,3,69.72,36.36,19.68,0.19757282
Bowel Wall Thickening,3,69.72,36.36,19.68,0.19757282
Intussusception,1,59.6,30.3,15.65,1.67669959
Intussusception,1,60.51,30.755,15.8775,1.67669164
Intussusception,1,59.6,30.3,15.65,1.67669959
Intussusception,1,67.45,34.225,17.6125,1.67660541
Intussusception,1,67.45,34.225,17.6125,1.67660541
Crohn's Disease,2,65.42,33.71,17.855,1.67663663
Crohn's Disease,2,65.22,33.61,17.805,1.67663937
Crohn's Disease,2,65.52,33.76,17.88,1.67663523
Crohn's Disease,2,65.52,33.76,17.88,1.67663523
Crohn's Disease,2,65.22,33.61,17.805,1.67663937
Intestinal Wall Thickening,3,69.72,36.36,19.68,0.19757282
Intestinal Wall Thickening,3,69.92,36.46,19.73,0.197543
Intestinal Wall Thickening,3,69.72,36.36,19.68,0.19757282
Intestinal Wall Thickening,3,69.92,36.46,19.73,0.197543
Intestinal Wall Thickening,3,72.97,37.985,20.4925,0.19697657
Colonic Diverticula,2,73.37,37.685,19.8425,1.67645741
Colonic Diverticula,2,71.14,36.57,19.285,1.67652693
Colonic Diverticula,2,64.51,33.255,17.6275,1.67664871
Colonic Diverticula,2,63.09,32.545,17.2725,1.67666566
Colonic Diverticula,2,73.37,37.685,19.8425,1.67645741
Colonic Polyp,2,71.14,36.57,19.285,1.67652693
Colonic Polyp,2,72.87,37.435,19.7175,1.67647504
Colonic Polyp,2,78.38,40.19,21.095,1.67615431
Colonic Polyp,2,78.38,40.19,21.095,1.67615431
Colonic Polyp,2,69.11,35.555,18.7775,1.67657433
Mesenteric Cyst,2,71.85,36.925,19.4625,0.19721254
Mesenteric Cyst,2,71.85,36.925,19.4625,0.19721254
Mesenteric Cyst,2,71.85,36.925,19.4625,0.19721254
Mesenteric Cyst,2,71.85,36.925,19.4625,0.19721254
Mesenteric Cyst,2,72.16,37.08,19.54,0.197151
Intestinal Stricture,2,65.76,33.88,17.94,1.67663183
Intestinal Stricture,2,57.61,29.805,15.9025,1.67671522
Intestinal Stricture,2,73.37,37.685,19.8425,1.67645741
Intestinal Stricture,2,56.79,29.395,15.6975,1.67672104
Intestinal Stricture,2,68.7,35.35,18.675,1.67658256
Simple Renal Cyst,3,71.34,37.17,20.085,1.67652156
Simple Renal Cyst,3,70.73,36.865,19.9325,1.67653752
Simple Renal Cyst,3,69.92,36.46,19.73,1.67655685
Simple Renal Cyst,3,71.65,37.325,20.1625,1.67651293
Simple Renal Cyst,3,60.85,31.925,17.4625,1.67668852
Angiomyolipoma,1,62.07,31.535,16.2675,1.6766766
Angiomyolipoma,1,62.27,31.635,16.3175,1.67667453
Angiomyolipoma,1,61.67,31.335,16.1675,1.67668064
Angiomyolipoma,1,62.48,31.74,16.37,1.67667232
Angiomyolipoma,1,62.27,31.635,16.3175,1.67667453
Hydronephrosis,1,65.05,33.025,17.0125,1.67664167
Hydronephrosis,1,69.72,35.36,18.18,1.67656132
Hydronephrosis,1,68.3,34.65,17.825,1.67659022
Hydronephrosis,1,68.5,34.75,17.875,1.67658643
Hydronephrosis,1,76.76,38.88,19.94,1.67628798
Kidney Stones,2,75.5,38.75,20.375,1.67636364
Kidney Stones,2,75.5,38.75,20.375,1.67636364
Kidney Stones,2,75.5,38.75,20.375,1.67636364
Kidney Stones,2,75.3,38.65,20.325,1.67637402
Kidney Stones,2,75.3,38.65,20.325,1.67637402
Renal Atrophy,2,72.97,37.485,19.7425,1.79697657
Renal Atrophy,2,72.87,37.435,19.7175,1.79699925
Renal Atrophy,2,72.97,37.485,19.7425,1.71017164
Renal Atrophy,2,72.66,37.33,19.665,1.71019329
Renal Atrophy,2,72.97,37.485,19.7425,1.79697657
Renal Mass,2,62.27,32.135,17.0675,0.19832846
Renal Mass,2,56.25,29.125,15.5625,0.19866444
Renal Mass,2,64.71,33.355,17.6775,0.19813867
Renal Mass,2,64.71,33.355,17.6775,0.19813867
Renal Mass,2,72.87,37.435,19.7175,0.19699925
Polycystic Kidney Disease,3,64.91,33.955,18.4775,1.67664353
Polycystic Kidney Disease,3,54.22,28.61,15.805,1.67673734
Polycystic Kidney Disease,3,72.97,37.985,20.4925,1.67647162
Polycystic Kidney Disease,3,71.95,37.475,20.2375,1.67650422
Polycystic Kidney Disease,3,55.44,29.22,16.11,1.67672994
Renal Cortical Thinning,3,54.73,28.865,15.9325,0.19872895
Renal Cortical Thinning,3,54.73,28.865,15.9325,0.19872895
Renal Cortical Thinning,3,54.73,28.865,15.9325,0.19872895
Renal Cortical Thinning,3,53.81,28.405,15.7025,0.19876505
Renal Cortical Thinning,3,46.47,24.735,13.8675,0.1989932
Renal Cyst with Septations,4,78.79,41.395,22.6975,1.67611105
Renal Cyst with Septations,4,69.31,36.655,20.3275,1.67657017
Renal Cyst with Septations,4,78.79,41.395,22.6975,1.67611105
Renal Cyst with Septations,4,69.11,36.555,20.2775,1.67657433
Renal Cyst with Septations,4,78.79,41.395,22.6975,1.67611105
Medullary Sponge Kidney,3,72.46,37.73,20.365,1.67648853
Medullary Sponge Kidney,3,64.91,33.955,18.4775,1.67664353
Medullary Sponge Kidney,3,64.91,33.955,18.4775,1.67664353
Medullary Sponge Kidney,3,65.22,34.11,18.555,1.67663937
Medullary Sponge Kidney,3,72.46,37.73,20.365,1.67648853
Renal Artery Aneurysm,3,81.43,42.215,22.6075,1.67564973
Renal Artery Aneurysm,3,80.62,41.81,22.405,1.67583874
Renal Artery Aneurysm,3,80.82,41.91,22.455,1.67579748
Renal Artery Aneurysm,3,80.11,41.555,22.2775,1.67593142
Renal Artery Aneurysm,3,69.11,36.055,19.5275,1.67657433
Hepatic Cyst,2,51.99,26.995,14.4975,1.71074929
Hepatic Cyst,2,60.24,31.12,16.56,1.71063391
Hepatic Cyst,2,57.61,29.805,15.9025,1.79860091
Hepatic Cyst,2,60.24,31.12,16.56,1.71063391
Hepatic Cyst,2,51.99,26.995,14.4975,1.71074929
Hepatic Hemangioma,2,54.02,28.01,15.005,1.67673849
Hepatic Hemangioma,2,62.07,32.035,17.0175,1.6766766
Hepatic Hemangioma,2,62.07,32.035,17.0175,1.6766766
Hepatic Hemangioma,2,54.02,28.01,15.005,1.67673849
Hepatic Hemangioma,2,62.07,32.035,17.0175,1.6766766
Hepatomegaly,1,60.45,30.725,15.8625,1.67669218
Hepatomegaly,1,70.84,35.92,18.46,1.67653473
Hepatomegaly,1,61.26,31.13,16.065,1.67668464
Hepatomegaly,1,55.74,28.37,14.685,1.67672803
Hepatomegaly,1,64.41,32.705,16.8525,1.67664998
Liver Steatosis,2,66.44,34.22,18.11,1.67662175
Liver Steatosis,2,56.45,29.225,15.6125,1.67672336
Liver Steatosis,2,55.54,28.77,15.385,1.67672931
Liver Steatosis,2,52.8,27.4,14.7,1.67674526
Liver Steatosis,2,55.95,28.975,15.4875,1.67672667
Liver Cirrhosis,2,53,27.5,14.75,1.71073826
Liver Cirrhosis,2,53,27.5,14.75,1.71073826
Liver Cirrhosis,2,61.06,31.53,16.765,1.71061829
Liver Cirrhosis,2,52.39,27.195,14.5975,1.710745
Liver Cirrhosis,2,61.87,31.935,16.9675,1.71060182
Liver Mass,2,69.72,35.86,18.93,0.99757282
Liver Mass,2,68.1,35.05,18.525,0.99779006
Liver Mass,2,71.85,36.925,19.4625,1.79721254
Liver Mass,2,68.91,35.455,18.7275,0.99768652
Liver Mass,2,68.1,35.05,18.525,0.99779006
Hepatic Adenoma,2,72.46,37.23,19.615,1.67648853
Hepatic Adenoma,2,64.2,33.1,17.55,1.6766526
Hepatic Adenoma,2,55.95,28.975,15.4875,1.67672667
Hepatic Adenoma,2,55.95,28.975,15.4875,1.67672667
Hepatic Adenoma,2,60.85,31.425,16.7125,1.67668852
Liver Metastasis,2,61.26,31.63,16.815,1.67668464
Liver Metastasis,2,61.26,31.63,16.815,1.67668464
Liver Metastasis,2,61.26,31.63,16.815,1.67668464
Liver Metastasis,2,61.26,31.63,16.815,1.67668464
Liver Metastasis,2,62.48,32.24,17.12,1.67667232
Liver Hemangioma,2,69.72,35.86,18.93,1.67656132
Liver Hemangioma,2,70.33,36.165,19.0825,1.67654731
Liver Hemangioma,2,70.33,36.165,19.0825,1.67654731
Liver Hemangioma,2,70.33,36.165,19.0825,1.67654731
Liver Hemangioma,2,69.72,35.86,18.93,1.67656132
Focal Nodular Hyperplasia,3,53.41,28.205,15.6025,0.19878012
Focal Nodular Hyperplasia,3,61.67,32.335,17.6675,0.19836934
Focal Nodular Hyperplasia,3,60.45,31.725,17.3625,0.1984466
Focal Nodular Hyperplasia,3,53,28,15.5,0.19879518
Focal Nodular Hyperplasia,3,61.87,32.435,17.7175,0.19835594
Hepatic Steatosis,2,62.07,32.035,17.0175,1.6766766
Hepatic Steatosis,2,62.07,32.035,17.0175,1.6766766
Hepatic Steatosis,2,51.78,26.89,14.445,1.67675055
Hepatic Steatosis,2,51.99,26.995,14.4975,1.67674949
Hepatic Steatosis,2,52.8,27.4,14.7,1.67674526
Hepatic Calcification,2,46.98,24.49,13.245,1.71079562
Hepatic Calcification,2,56.45,29.225,15.6125,1.71069489
Hepatic Calcification,2,46.98,24.49,13.245,1.71079562
Hepatic Calcification,2,56.05,29.025,15.5125,1.71070043
Hepatic Calcification,2,56.45,29.225,15.6125,1.71069489
Liver Abscess,2,63.09,32.545,17.2725,1.67666566
Liver Abscess,2,69.72,35.86,18.93,1.67656132
Liver Abscess,2,69.92,35.96,18.98,1.67655685
Liver Abscess,2,69.92,35.96,18.98,1.67655685
Liver Abscess,2,72.46,37.23,19.615,1.67648853
Hepatic Regeneration Nodule,3,61.67,32.335,17.6675,1.67668064
Hepatic Regeneration Nodule,3,52.39,27.695,15.3475,1.67674743
Hepatic Regeneration Nodule,3,61.26,32.13,17.565,1.67668464
Hepatic Regeneration Nodule,3,61.06,32.03,17.515,1.67668655
Hepatic Regeneration Nodule,3,61.67,32.335,17.6675,1.67668064
Pancreatic Cyst,2,62.48,32.24,17.12,1.67667232
Pancreatic Cyst,2,64.2,33.1,17.55,1.6766526
Pancreatic Cyst,2,61.67,31.835,16.9175,1.67668064
Pancreatic Cyst,2,62.48,32.24,17.12,1.67667232
Pancreatic Cyst,2,72.97,37.485,19.7425,1.67647162
Pancreatic Pseudocyst,2,56.05,29.025,15.5125,1.67672602
Pancreatic Pseudocyst,2,61.06,31.53,16.765,1.67668655
Pancreatic Pseudocyst,2,61.06,31.53,16.765,1.67668655
Pancreatic Pseudocyst,2,61.26,31.63,16.815,1.67668464
Pancreatic Pseudocyst,2,56.05,29.025,15.5125,1.67672602
Pancreatic Mass,2,69.72,35.86,18.93,0.19757282
Pancreatic Mass,2,69.72,35.86,18.93,0.19757282
Pancreatic Mass,2,63.39,32.695,17.3475,0.91056775
Pancreatic Mass,2,62.88,32.44,17.22,0.19828473
Pancreatic Mass,2,69.72,35.86,18.93,0.19757282
Pancreatitis,1,48.3,24.65,12.825,1.67676644
Pancreatitis,1,48.5,24.75,12.875,1.67676561
Pancreatitis,1,48.5,24.75,12.875,1.67676561
Pancreatitis,1,48.3,24.65,12.825,1.67676644
Pancreatitis,1,56.76,28.88,14.94,1.67672124
Pancreatic Atrophy,2,52.19,27.095,14.5475,1.79882388
Pancreatic Atrophy,2,62.27,32.135,17.0675,1.79832846
Pancreatic Atrophy,2,51.99,26.995,14.4975,1.79883075
Pancreatic Atrophy,2,61.67,31.835,16.9175,1.79836934
Pancreatic Atrophy,2,53,27.5,14.75,1.79879518
Intraductal Papillary Mucinous Neoplasm,4,65.52,34.76,19.38,1.79806576
Intraductal Papillary Mucinous Neoplasm,4,62.48,33.24,18.62,1.79831366
Intraductal Papillary Mucinous Neoplasm,4,72.66,38.33,21.165,1.79704579
Intraductal Papillary Mucinous Neoplasm,4,73.47,38.735,21.3675,1.79685782
Intraductal Papillary Mucinous Neoplasm,4,73.37,38.685,21.3425,1.79688231
Pancreatic Calcification,2,47.49,24.745,13.3725,1.79896668
Pancreatic Calcification,2,47.28,24.64,13.32,1.79897225
Pancreatic Calcification,2,40.18,21.09,11.545,1.79913081
Pancreatic Calcification,2,48.3,25.15,13.575,0.99894459
Pancreatic Calcification,2,46.78,24.39,13.195,0.99898529
Pancreatic Fatty Infiltration,3,48.81,25.905,14.4525,1.7989302
Pancreatic Fatty Infiltration,3,48.81,25.905,14.4525,1.7989302
Pancreatic Fatty Infiltration,3,44.75,23.875,13.4375,1.79903498
Pancreatic Fatty Infiltration,3,48.81,25.905,14.4525,1.7989302
Pancreatic Fatty Infiltration,3,55.54,29.27,16.135,1.79869537
Retroperitoneal Fibrosis,2,70.33,36.165,19.0825,1.79747952
Retroperitoneal Fibrosis,2,69.31,35.655,18.8275,1.79763174
Retroperitoneal Fibrosis,2,70.33,36.165,19.0825,1.79747952
Retroperitoneal Fibrosis,2,69.31,35.655,18.8275,1.79763174
Retroperitoneal Fibrosis,2,70.33,36.165,19.0825,1.79747952
Retroperitoneal Mass,2,72.87,37.435,19.7175,0.19699925
Retroperitoneal Mass,2,79.4,40.7,21.35,0.19411765
Retroperitoneal Mass,2,72.87,37.435,19.7175,0.19699925
Retroperitoneal Mass,2,71.65,36.825,19.4125,0.19725086
Retroperitoneal Mass,2,65.42,33.71,17.855,0.19807507
Retroperitoneal Tumor,2,61.26,31.63,16.815,1.79839615
Retroperitoneal Tumor,2,64.2,33.1,17.55,1.79818182
Retroperitoneal Tumor,2,70.13,36.065,19.0325,1.79751089
Retroperitoneal Tumor,2,62.07,32.035,17.0175,1.79834231
Retroperitoneal Tumor,2,64.2,33.1,17.55,1.79818182
Retroperitoneal Hematoma,2,53.61,27.805,14.9025,0.19877263
Retroperitoneal Hematoma,2,69.92,35.96,18.98,0.197543
Retroperitoneal Hematoma,2,69.31,35.655,18.8275,0.19763173
Retroperitoneal Hematoma,2,70.73,36.365,19.1825,0.19741435
Retroperitoneal Hematoma,2,69.72,35.86,18.93,0.19757282
Retroperitoneal Fibromatosis,2,53,27.5,14.75,0.19879518
Retroperitoneal Fibromatosis,2,60.65,31.325,16.6625,0.19843444
Retroperitoneal Fibromatosis,2,52.8,27.4,14.7,0.9988024
Retroperitoneal Fibromatosis,2,52.6,27.3,14.65,0.99880952
Retroperitoneal Fibromatosis,2,53,27.5,14.75,0.19879518
Retroperitoneal Lymphadenopathy,2,70.33,36.165,19.0825,1.79747952
Retroperitoneal Lymphadenopathy,2,61.67,31.835,16.9175,1.79836934
Retroperitoneal Lymphadenopathy,2,61.67,31.835,16.9175,1.79836934
Retroperitoneal Lymphadenopathy,2,64.41,33.205,17.6025,1.7981643
Retroperitoneal Lymphadenopathy,2,70.53,36.265,19.1325,1.79744735
Splenomegaly,1,67.49,34.245,17.6225,1.67660473
Splenomegaly,1,67.69,34.345,17.6725,1.67660126
Splenomegaly,1,71.44,36.22,18.61,1.67651881
Splenomegaly,1,80.31,40.655,20.8275,1.67589703
Splenomegaly,1,67.49,34.245,17.6225,1.67660473
Splenic Cyst,2,64.54,33.27,17.635,1.67664833
Splenic Cyst,2,64.54,33.27,17.635,1.67664833
Splenic Cyst,2,73.88,37.94,19.97,1.67643794
Splenic Cyst,2,81.43,41.715,21.8575,1.67564973
Splenic Cyst,2,73.68,37.84,19.92,1.67644577
Splenic Infarction,2,72.16,37.08,19.54,1.6764979
Splenic Infarction,2,81.12,41.56,21.78,1.67572936
Splenic Infarction,2,80.82,41.41,21.705,1.67579748
Splenic Infarction,2,81.12,41.56,21.78,1.67572936
Splenic Infarction,2,80.62,41.31,21.655,1.67583874
Accessory Spleen,2,69.11,35.555,18.7775,0.99765945
Accessory Spleen,2,61.26,31.63,16.815,0.99839615
Accessory Spleen,2,69.52,35.76,18.88,0.99760192
Accessory Spleen,2,69.11,35.555,18.7775,0.99765945
Accessory Spleen,2,69.52,35.76,18.88,0.99760192
Splenic Mass,2,58.32,30.16,16.08,0.19856528
Splenic Mass,2,58.32,30.16,16.08,0.19856528
Splenic Mass,2,65.56,33.78,17.89,0.19806202
Splenic Mass,2,66.57,34.285,18.1425,0.1979623
Splenic Mass,2,66.78,34.39,18.195,0.19794027
Splenic Calcification,2,57.47,29.735,15.8675,0.19860773
Splenic Calcification,2,56.96,29.48,15.74,0.19863201
Splenic Calcification,2,56.96,29.48,15.74,0.19863201
Splenic Calcification,2,56.96,29.48,15.74,0.19863201
Splenic Calcification,2,57.77,29.885,15.9425,0.19859304
Splenic Laceration,2,62.07,32.035,17.0175,1.79834231
Splenic Laceration,2,58.32,30.16,16.08,1.79856528
Splenic Laceration,2,61.87,31.935,16.9675,1.79835594
Splenic Laceration,2,62.07,32.035,17.0175,1.79834231
Splenic Laceration,2,62.07,32.035,17.0175,1.79834231
Gastric Polyp,2,81.12,41.56,21.78,0.19212598
Gastric Polyp,2,78.38,40.19,21.095,0.19488491
Gastric Polyp,2,80.31,41.155,21.5775,0.19320883
Gastric Polyp,2,81.12,41.56,21.78,0.19212598
Gastric Polyp,2,72.36,37.18,19.59,0.19710983
Gastric Ulcer,2,65.42,33.71,17.855,1.67663663
Gastric Ulcer,2,66.03,34.015,18.0075,1.67662791
Gastric Ulcer,2,66.03,34.015,18.0075,1.67662791
Gastric Ulcer,2,66.03,34.015,18.0075,1.67662791
Gastric Ulcer,2,74.49,38.245,20.1225,1.6764124
Gastric Wall Thickening,3,73.37,38.185,20.5925,0.19688231
Gastric Wall Thickening,3,73.37,38.185,20.5925,0.19688231
Gastric Wall Thickening,3,64.2,33.6,18.3,0.19818182
Gastric Wall Thickening,3,64.2,33.6,18.3,0.19818182
Gastric Wall Thickening,3,72.66,37.83,20.415,0.19704579
Bezoar,1,74.19,37.595,19.2975,0.19666944
Bezoar,1,73.88,37.44,19.22,0.19675325
Bezoar,1,73.88,37.44,19.22,0.19675325
Bezoar,1,74.19,37.595,19.2975,0.19666944
Bezoar,1,73.88,37.44,19.22,0.19675325
Gastritis,1,53.41,27.205,14.1025,1.67674194
Gastritis,1,54.22,27.61,14.305,1.67673734
Gastritis,1,55.03,28.015,14.5075,1.67673249
Gastritis,1,58.28,29.64,15.32,1.67671021
Gastritis,1,61.67,31.335,16.1675,1.67668064
Hiatal Hernia,2,64,33,17.5,1.67665505
Hiatal Hernia,2,56.25,29.125,15.5625,1.67672469
