Body Part,Organ,Incidental_Finding,ICD-10 Code,ICD-10 Code Description
Abdomen,Intestines,Intussusception,K56.1,Intussusception
Chest,Mediastinum,Thymoma,C37,Malignant neoplasm of thymus
Chest,Lung,Lymphangioleiomyomatosis,J84.81,Lymphangioleiomyomatosis
Chest,Lung,Hypersensitivity Pneumonitis,J67.9,Hypersensitivity pneumonitis due to unspecified organic dust
Chest,Trachea,Tracheal Wall Thickening,J39.8,Other specified diseases of upper respiratory tract
Chest,Vessels,Thoracic Aortic Aneurysm,I71.2,Thoracic aortic aneurysm without rupture
Chest,Vessels,Superior Vena Cava Syndrome,I87.8,Other specified disorders of veins
Chest,Vessels,Thoracic Aortic Dissection,I71.00,"Dissection of aorta, unspecified site"
Head,Brain,Porencephalic Cyst,Q04.6,Congenital porencephaly
Head,Brain,Perivascular Spaces Dilatation,G93.9,"Disorder of brain, unspecified"
Head,Brain,White Matter Hyperintensity,R90.89,Other abnormal findings on diagnostic imaging of central nervous system
Head,Brain,Colloid Cyst,G93.0,Cebebral cysts
Head,Brain,Cystic Lesion of Choroid Plexus,Q04.8,Other specified congenital malformations of brain
Head,Brain,Periventricular Leukomalacia,P91.2,Cystic periventricular leukomalacia
Head,Brain,Normal Pressure Hydrocephalus,G91.2,Normal pressure hydrocephalus
Head,Brain,Spinal Canal Stenosis,M48.0,"Spinal stenosis, site unspecified"
Head,Brain,Trigeminal Neuralgia,G50.0,Trigeminal neuralgia
Head,Brain,Ischemic White Matter Disease,R90.82 ,"White matter disease, unpsecified "
Head,Brain,Juvenile Pilocytic Astrocytoma,D33.1,"Benign neoplasm of brain, infratentorial"
Head,Brain,Spongiform Changes in Brain,A81.9,"Prion disease, unspecified"
Head,Ears,Otitis Media,H66.90,"Otitis media, unspecified, unspecified ear"
Head,Jaw,TMJ Disorder,M26.62,Arthralgia of temporomandibular joint
Head,Jaw,Odontogenic Cyst,K09.0,Developmental (nonodontogenic) cysts of oral region
Head,Nasal Cavity,Deviated Nasal Septum,J34.2,Deviated nasal septum
Head,Nasal Cavity,Turbinate Hypertrophy,J34.3,Hypertrophy of nasal turbinates
Head,Soft Tissue,Hemangioma of Head,D18.01,Hemangioma of skin and subcutaneous tissue
Head,Soft Tissue,Lipoma of Face,D17.0,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
Head,Soft Tissue,Cutaneous Abscess of Scalp,L02.81,"Cutaneous abscess of head [any part], except face"
Head,Soft Tissue,Scalp Lipoma,D17.0,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
Neck,Esophagus,Zenker's Diverticulum,K22.5,"Diverticulum of esophagus, acquired"
Neck,Esophagus,Cervical Esophageal Ulcer,K22.1,Esophageal ulcer
Neck,Lymph Nodes,Enlarged Cervical Lymph Nodes,R59.0,Localized enlarged lymph nodes
Neck,Lymph Nodes,Calcified Lymph Node,R93.0,Abnormal findings on diagnostic imaging of skull and head region
Neck,Lymph Nodes,Metastatic Lymphadenopathy,C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
Neck,Lymph Nodes,Lymph Node Calcification,R22.1,"Localized swelling, mass, and lump, neck"
Neck,Lymph Nodes,Granulomatous Lymphadenitis,I88.1,Chronic nonspecific lymphadenitis
Neck,Muscles,Cervical Muscle Spasm,M62.838,Other muscle spasm
Neck,Nerves,Cervical Nerve Root Compression,M54.12,"Radiculopathy, cervical region"
Neck,Nerves,Brachial Plexus Lesion,G54.0,Brachial plexus disorders
Neck,Parathyroid,Parathyroid Carcinoma,C75.0,Malignant neoplasm of parathyroid gland
Neck,Parathyroid,Parathyroid Cyst,E21.5,"Disorder of parathyroid gland, unspecified"
Neck,Pharynx,Hypertrophy of Pharyngeal Tonsils,J35.2,Hypertrophy of adenoids
Neck,Vessels,Arteriovenous Malformation,Q28.2,Arteriovenous malformation of vessel of brain
Neck,Vessels,Vertebral Artery Stenosis,I65.8,Occlusion and stenosis of other precerebral arteries
Neck,Vessels,Carotid Artery Dissection,I77.71,Dissection of carotid artery
