finding,ICD10_code,PFx,Word Count,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,GT_Trimmed,Agent_Trimmed,relaxed_accuracy_agent_icd10,pfx_icd10_trimmed,relaxed_accuracy_pfx_icd10,relaxed_accuracy,relaxed_overall_score
Bladder Wall Thickening,R93.4,"Bladder wall thickening is a condition where the bladder's lining becomes thicker than usual. This can be found during imaging tests like an ultrasound or CT scan. Often, it doesn't cause any symptoms and might not need treatment. However, sometimes it can be linked to conditions like bladder infections or inflammation. If you notice symptoms like frequent urination, pain, or blood in your urine, it's important to let your doctor know. They can help figure out if any further tests or treatments are needed to keep your bladder healthy.",89,N32.89,R93.4,TRUE,FALSE,64.91,1,0,0.5,20.09,0.8094831674,R93,R93,1,N32,0,0.5,0.8094831674
Bladder Stone,N21.0,"A bladder stone is a hard mass that forms in the bladder, often discovered during imaging tests for other conditions. These stones can develop when urine in the bladder becomes concentrated, leading to the crystallization of minerals. Patients should know that small bladder stones might not cause any symptoms and can sometimes pass on their own. However, larger stones can cause discomfort, pain, or urinary problems. If symptoms occur, treatment options may include drinking plenty of water to help pass the stone or medical procedures to remove it.",88,N21.0,N21.0,TRUE,TRUE,62.07,1,1,1,22.93,1.60835771,N21,N21,1,N21,1,1,1.60835771
Bladder Cyst,R93.4,"A bladder cyst is a small, fluid-filled sac that can be found in the bladder. It is often discovered by accident during imaging tests for other reasons. Most bladder cysts are harmless and do not cause any symptoms. They usually do not need any treatment. However, if you experience symptoms like pain, blood in your urine, or frequent urination, it is important to let your doctor know. In rare cases, further evaluation may be needed to ensure there are no underlying issues that need attention.",85,N28.89,N28.89,FALSE,FALSE,65.52,0,0,0,19.48,0.009765625,R93,N28,0,N28,0,0,0.009765625
Bladder Calculus,N21.0,"A bladder calculus, also known as a bladder stone, is a hard mass that forms in the bladder. It is often found incidentally during imaging tests for other conditions. Patients should know that bladder stones can sometimes cause symptoms like pain, difficulty urinating, or blood in the urine. However, if they are small and not causing any problems, they might not need immediate treatment. It's important to stay hydrated and monitor for any symptoms. If symptoms develop or the stone is large, a doctor may discuss treatment options, which could include medication or procedures to remove the stone.",98,N21.0,N21.0,TRUE,TRUE,54.93,1,1,1,30.07,1.606437078,N21,N21,1,N21,1,1,1.606437078
Bladder Cancer,C67.9,"Bladder cancer is a condition where abnormal cells grow in the bladder, which is the organ that stores urine. It can sometimes be found by accident during tests for other issues. Patients should know that bladder cancer can cause symptoms like blood in the urine, frequent urination, or pain during urination. It's important to talk to a doctor about these symptoms. Treatment options depend on the stage and type of cancer and may include surgery, chemotherapy, or radiation therapy. Early detection and treatment can improve outcomes.",86,C67.9,C67.9,TRUE,TRUE,65.42,1,1,1,19.58,1.609718173,C67,C67,1,C67,1,1,1.609718173
Bladder Diverticula,N32.3,"Bladder diverticula are small pouches that form in the bladder wall. They are often found by accident during imaging tests for other reasons. Most of the time, these pouches do not cause any problems and do not need treatment. However, if they become large or cause symptoms like frequent urinary tract infections or trouble urinating, it might be necessary to see a doctor. In some cases, treatment could involve medication or surgery to remove the diverticula. It's important to monitor for any changes or symptoms.",85,N32.3,N32.3,TRUE,TRUE,57.06,1,1,1,27.94,1.60691085,N32,N32,1,N32,1,1,1.60691085
Neurogenic Bladder,N31.9,"A neurogenic bladder is a condition where the nerves that control the bladder do not work properly, which can lead to problems with storing or emptying urine. This can happen due to various reasons, such as spinal cord injuries, neurological diseases, or birth defects. Patients should know that symptoms can include difficulty urinating, frequent urination, or urinary incontinence. It's important to manage these symptoms to prevent complications like urinary tract infections or kidney damage. Treatment options may include medications, catheterization, or lifestyle changes to help manage bladder function.",88,N31.9,N31.9,TRUE,TRUE,45.15,1,1,1,39.85,1.604895961,N31,N31,1,N31,1,1,1.604895961
Gallbladder Polyps,K82.4,"Gallbladder polyps are small growths that are found on the inside lining of the gallbladder. They are often discovered by accident during an ultrasound or other imaging tests. Most gallbladder polyps are harmless and do not cause any symptoms. They are usually not cancerous and do not require treatment. However, if a polyp is larger than 1 centimeter, it might need to be checked more closely because there is a small chance it could become cancerous. Regular check-ups with your doctor can help monitor the size and nature of the polyps.",91,K82.8,K82.4,TRUE,FALSE,64.51,1,0,0.5,20.49,0.8093066543,K82,K82,1,K82,1,1,1.609306654
Cholelithiasis,K80.20,"Cholelithiasis means you have gallstones, which are small, hard deposits that form in your gallbladder. The gallbladder is a small organ under your liver that helps with digestion. Many people with gallstones don't have any symptoms and may not need treatment. However, if you experience pain in your upper right abdomen, nausea, or vomiting, it could mean a gallstone is blocking a bile duct. In such cases, it's important to seek medical advice to discuss possible treatments, which might include medication or surgery to remove the gallbladder.",87,K80.20,K80.20,TRUE,TRUE,62.27,1,1,1,22.73,1.60842815,K80,K80,1,K80,1,1,1.60842815
Gallstones,K80.20,"Gallstones are small, hard deposits that form in the gallbladder, a small organ under your liver. They are often found by accident during tests for other issues. Most people with gallstones don't have any symptoms and don't need treatment. However, if gallstones block a bile duct, they can cause pain, nausea, or other digestive problems. It's important to be aware of these symptoms, as they might require medical attention. If you experience any discomfort or changes in your digestion, you should talk to your doctor.",85,K80.20,K80.20,TRUE,TRUE,65.52,1,1,1,19.48,1.609765625,K80,K80,1,K80,1,1,1.609765625
Gallbladder Sludge,R93.2,"Gallbladder sludge is a thick, mud-like substance that can form in the gallbladder. It is often found by accident during an ultrasound or other imaging tests. Most of the time, gallbladder sludge does not cause any symptoms and does not need treatment. However, if it does cause symptoms like pain in the upper right side of the belly, nausea, or vomiting, it might be a sign of gallstones or other gallbladder problems. In such cases, a doctor might suggest further tests or treatments to help manage the symptoms.",88,K82.8,K82.8,FALSE,FALSE,70.53,0,0,0,14.47,0.01292824822,R93,K82,0,K82,0,0,0.01292824822
Gallbladder Wall Thickening,K81.9,"Gallbladder wall thickening is a condition where the wall of the gallbladder becomes thicker than normal. This can be found during an ultrasound or other imaging tests. Often, it doesn't cause any symptoms and might not need treatment. However, it can sometimes be a sign of inflammation or other gallbladder issues. If you experience symptoms like abdominal pain, nausea, or fever, it's important to let your doctor know. They can help determine if any further tests or treatments are needed to address the underlying cause.",85,K82.8,K82.8,FALSE,FALSE,57.06,0,0,0,27.94,0.006910850035,K81,K82,0,K82,0,0,0.006910850035
Gallbladder Tumor,D37.6,"A gallbladder tumor is an abnormal growth found in the gallbladder, which is a small organ under your liver that helps with digestion. Sometimes, these tumors are found by accident during tests for other issues. It's important to know that not all tumors are cancerous. Some may be benign, meaning they are not harmful. However, if the tumor is cancerous, it could affect how the gallbladder works and may need treatment. If you have any symptoms like pain in your upper belly, nausea, or jaundice (yellowing of the skin), it's important to let your doctor know.",96,D37.6,D37.6,TRUE,TRUE,63.7,1,1,1,21.3,1.60896861,D37,D37,1,D37,1,1,1.60896861
Adenomyomatosis,K82.8,"Adenomyomatosis is a condition where the gallbladder wall thickens due to small growths. It's often found by accident during imaging tests like an ultrasound or MRI. Most people with adenomyomatosis don't have any symptoms, and it usually doesn't cause any problems. It's important to know that this condition is not cancerous and doesn't typically require treatment. However, if you experience symptoms like abdominal pain or discomfort, it might be worth discussing with your doctor to see if further evaluation is needed.",81,K82.8,K82.8,TRUE,TRUE,46.57,1,1,1,38.43,1.60507228,K82,K82,1,K82,1,1,1.60507228
Porcelain Gallbladder,K82.8,"A porcelain gallbladder is a condition where the walls of the gallbladder become covered with calcium deposits, making them hard and brittle. This is often found by accident during imaging tests for other issues. Patients should know that while a porcelain gallbladder might not cause symptoms, it can be associated with a higher risk of gallbladder cancer. Because of this risk, doctors often recommend removing the gallbladder, even if it isn't causing any problems. It's important to discuss this with your healthcare provider to understand the best course of action.",90,K82.8,K82.8,TRUE,TRUE,53.21,1,1,1,31.79,1.606099421,K82,K82,1,K82,1,1,1.606099421
Gallbladder Agenesis,Q44.0,"Gallbladder agenesis is a rare condition where a person is born without a gallbladder. This is usually discovered by accident during imaging tests for other reasons. Most people with gallbladder agenesis do not have any symptoms and live normal, healthy lives without needing any treatment. The gallbladder is an organ that helps with digestion, but the body can function well without it. If you experience symptoms like stomach pain or digestive issues, it might be due to other causes, and your doctor can help figure out the best way to manage them.",92,Q44.0,Q44.0,TRUE,TRUE,52.8,1,1,1,32.2,1.606024096,Q44,Q44,1,Q44,1,1,1.606024096
Intestinal Polyp,K63.5,"An intestinal polyp is a small growth that can be found in the lining of the intestine. These polyps are often discovered during routine screenings like a colonoscopy. Most intestinal polyps are benign, meaning they are not cancerous, and they usually do not cause any symptoms. However, some polyps can develop into cancer over time, so it's important to monitor them. If a polyp is found, a doctor may recommend removing it to prevent any potential future problems. This procedure is typically straightforward and can help ensure your intestines stay healthy.",91,K63.5,K63.5,TRUE,TRUE,64.51,1,1,1,20.49,1.609306654,K63,K63,1,K63,1,1,1.609306654
Diverticulosis,K57.30,"Diverticulosis is a condition where small pouches, called diverticula, form in the wall of the colon. These pouches are usually harmless and often found during tests for other issues. Most people with diverticulosis don't have any symptoms and don't need treatment. It's important to eat a healthy diet with plenty of fiber, which can help prevent any problems. Sometimes, these pouches can become inflamed or infected, leading to a condition called diverticulitis, which can cause pain and other symptoms. If you experience any discomfort, it's important to let your doctor know.",91,K57.30,K57.30,TRUE,TRUE,56.05,1,1,1,28.95,1.606677796,K57,K57,1,K57,1,1,1.606677796
Appendicitis,K35.80,"Appendicitis is a condition where the appendix, a small tube attached to the large intestine, becomes inflamed and swollen. This can cause pain in the lower right side of the belly, along with symptoms like nausea, vomiting, and fever. If not treated, the appendix can burst, leading to serious complications. Treatment usually involves surgery to remove the appendix, which is a common and safe procedure. It's important to seek medical attention if you experience symptoms of appendicitis to prevent complications.",80,K35.80,K35.80,TRUE,TRUE,46.78,1,1,1,38.22,1.605099439,K35,K35,1,K35,1,1,1.605099439
Ileus,K56.7,"Ileus is a condition where the intestines temporarily stop moving food through the digestive system. This can happen for various reasons, like after surgery or due to certain medications. When the intestines don't move properly, it can cause symptoms like bloating, stomach pain, and not being able to pass gas or stool. It's important to know that ileus is usually temporary and can often be managed with rest, changes in diet, or sometimes medication. If you experience severe symptoms, it's important to seek medical attention to ensure proper care.",89,K56.7,K56.7,TRUE,TRUE,53.41,1,1,1,31.59,1.606136852,K56,K56,1,K56,1,1,1.606136852
Bowel Wall Thickening,R93.3,"Bowel wall thickening is a finding that can be seen on imaging tests like a CT scan or MRI. It means that the wall of the intestine looks thicker than usual. This can happen for many reasons, such as inflammation, infection, or other conditions. Most of the time, it doesn't cause any symptoms and might not need any treatment. However, if you experience symptoms like stomach pain, changes in bowel habits, or weight loss, it's important to let your doctor know so they can decide if further evaluation is needed.",90,K63.89,R19.8,FALSE,FALSE,70.13,0,0,0,14.87,0.01260239445,R93,R19,0,K63,0,0,0.01260239445
Intussusception,K56.1,"Intussusception is a condition where one part of the intestine slides into another, like a telescope. This can cause a blockage in the intestines. It is more common in children but can happen in adults too. Symptoms might include belly pain, swelling, or vomiting. If you have these symptoms, it's important to get medical help quickly. Sometimes, intussusception can be found by accident during tests for other issues. If it is found incidentally and you have no symptoms, your doctor will decide if any treatment is needed.",87,K56.1,K56.1,TRUE,TRUE,67.35,1,1,1,17.65,1.610723861,K56,K56,1,K56,1,1,1.610723861
Crohn's Disease,K50.90,"Crohn's Disease is a condition that causes inflammation in parts of the digestive system. It can lead to symptoms like stomach pain, diarrhea, and weight loss. Sometimes, it is found by accident when doctors are looking for something else. If you have Crohn's Disease, it's important to work with your doctor to manage it. This might include taking medicine, eating a special diet, or sometimes having surgery. The goal is to help you feel better and prevent any problems from getting worse.",82,K50.90,K50.90,TRUE,TRUE,74.49,1,1,1,10.51,1.617376195,K50,K50,1,K50,1,1,1.617376195
Intestinal Wall Thickening,R93.3,"Intestinal wall thickening is a finding that can be seen on imaging tests like a CT scan or MRI. It means that the wall of the intestine looks thicker than usual. This can happen for many reasons, some of which are harmless, like mild inflammation or a past infection. Sometimes, it might be a sign of something more serious, like an infection or a condition like Crohn's disease. It's important to talk to your doctor about what this finding means for you and if any further tests are needed.",89,K63.89,R19.8,FALSE,FALSE,70.33,0,0,0,14.67,0.01276324186,R93,R19,0,K63,0,0,0.01276324186
Colonic Diverticula,K57.30,"Colonic diverticula are small pouches that can form in the wall of the colon. They are often found by accident during tests for other conditions. Most people with diverticula do not have any symptoms and do not need treatment. However, it's important to eat a healthy diet with plenty of fiber to help prevent any problems. Sometimes, these pouches can become inflamed or infected, leading to a condition called diverticulitis, which can cause pain and other symptoms. If you experience any discomfort or changes in your bowel habits, it's important to let your doctor know.",95,K57.30,K57.30,TRUE,TRUE,63.9,1,1,1,21.1,1.609049774,K57,K57,1,K57,1,1,1.609049774
Colonic Polyp,K63.5,"A colonic polyp is a small growth on the lining of the colon, often found during a colonoscopy. These polyps are usually benign, meaning they are not cancerous. However, some types of polyps can develop into cancer over time if not removed. It's important to have regular check-ups to monitor for any new polyps. If a polyp is found, it can often be removed during the colonoscopy procedure. This helps prevent any potential progression to cancer. Maintaining a healthy diet and lifestyle can also help reduce the risk of developing polyps.",91,K63.5,K63.5,TRUE,TRUE,66.74,1,1,1,18.26,1.610384216,K63,K63,1,K63,1,1,1.610384216
Mesenteric Cyst,R93.3,"A mesenteric cyst is a fluid-filled sac that is found in the mesentery, which is the tissue that holds your intestines in place. These cysts are usually discovered by accident during imaging tests for other reasons. Most of the time, mesenteric cysts do not cause any symptoms and are not harmful. They often do not need any treatment. However, if the cyst becomes large or causes symptoms like pain or swelling in the belly, a doctor might suggest removing it. It's important to keep an eye on any changes in how you feel.",93,D13.4,D73.3,FALSE,FALSE,72.66,0,0,0,12.34,0.01499250375,R93,D73,0,D13,0,0,0.01499250375
Intestinal Stricture,K56.60,"An intestinal stricture is a narrowing of a part of the intestine, which can sometimes be found incidentally during imaging tests. This narrowing can be caused by inflammation, scar tissue, or other conditions. Patients should know that while some strictures may not cause symptoms, others can lead to problems like abdominal pain, bloating, or changes in bowel habits. If symptoms occur, it may be necessary to discuss with a healthcare provider about possible treatments, which could include dietary changes, medication, or in some cases, surgery to relieve the narrowing.",89,K56.60,K56.60,TRUE,TRUE,48.84,1,1,1,36.16,1.605382131,K56,K56,1,K56,1,1,1.605382131
Simple Renal Cyst,N28.1,"A simple renal cyst is a fluid-filled sac that can form in the kidneys. These cysts are quite common, especially as people get older, and are usually found by accident during imaging tests for other reasons. Most of the time, simple renal cysts do not cause any symptoms or health problems and do not need treatment. They are not cancerous and rarely lead to complications. If you do experience symptoms like pain or notice changes in your urine, it's important to let your doctor know so they can check if the cyst is causing any issues.",96,N28.1,N28.1,TRUE,TRUE,68.91,1,1,1,16.09,1.61170275,N28,N28,1,N28,1,1,1.61170275
Angiomyolipoma,D30.0,"An angiomyolipoma is a benign tumor that is often found in the kidney during imaging tests. It is made up of blood vessels, muscle, and fat. Most of the time, these tumors do not cause any symptoms and do not need treatment. However, if they grow large, they might cause pain or bleeding. It's important to keep an eye on them with regular check-ups to make sure they don't cause any problems. If any symptoms like pain or blood in the urine occur, further evaluation may be needed.",88,D30.0,D30.0,TRUE,TRUE,81.93,1,1,1,3.07,1.649140049,D30,D30,1,D30,1,1,1.649140049
Hydronephrosis,N13.30,"Hydronephrosis is a condition where one or both of your kidneys become swollen due to a build-up of urine. This can happen if there is a blockage or obstruction in the urinary tract, or if urine is flowing backward from the bladder into the kidneys. It is often found during imaging tests for other reasons. Many times, hydronephrosis does not cause symptoms, but it can lead to pain, urinary tract infections, or kidney damage if not addressed. Treatment depends on the cause and severity, and it may involve medication or procedures to relieve the blockage.",95,N13.30,N13.30,TRUE,TRUE,69.11,1,1,1,15.89,1.611841326,N13,N13,1,N13,1,1,1.611841326
Kidney Stones,N20.0,"Kidney stones are small, hard deposits that form inside your kidneys. They are made of minerals and salts. Sometimes, kidney stones are found by accident when you have an imaging test for another reason. Many kidney stones are small and can pass through your urinary tract without causing any problems. However, if a stone is large, it might cause pain or block the flow of urine. Drinking plenty of water can help prevent stones from forming. If you experience pain or difficulty urinating, you should talk to your doctor.",89,N20.0,N20.0,TRUE,TRUE,75.5,1,1,1,9.5,1.619047619,N20,N20,1,N20,1,1,1.619047619
Renal Atrophy,N26.1,"Renal atrophy means that one or both of your kidneys have become smaller than normal. This can happen for a variety of reasons, such as reduced blood flow or damage from an infection. When kidneys shrink, they might not work as well as they should. However, many people with renal atrophy do not have any symptoms and may not need treatment. It's important to keep an eye on kidney function through regular check-ups. If you notice any changes in your health, like swelling or changes in urination, let your doctor know.",91,N26.9,N26.1,TRUE,FALSE,72.97,1,0,0.5,12.03,0.8153491942,N26,N26,1,N26,1,1,1.615349194
Renal Mass,R93.4,"A renal mass is a growth or lump found in the kidney, often discovered during imaging tests for other reasons. Most renal masses are benign, meaning they are not cancerous, but some can be malignant, which means they could be cancer. It's important to understand that not all renal masses require immediate treatment. Doctors often monitor these masses over time to see if they change in size or appearance. If there are any concerns about the mass, further tests may be needed to determine the best course of action.",89,N28.89,N28.89,FALSE,FALSE,61.87,0,0,0,23.13,0.00828843763,R93,N28,0,N28,0,0,0.00828843763
Polycystic Kidney Disease,Q61.3,"Polycystic Kidney Disease (PKD) is a condition where clusters of cysts develop in the kidneys. These cysts are filled with fluid and can cause the kidneys to become enlarged. While PKD can be serious, it often progresses slowly, and many people live with it for years without significant problems. It's important to monitor kidney function regularly, as the cysts can sometimes lead to high blood pressure or kidney failure. Maintaining a healthy lifestyle, including a balanced diet and regular exercise, can help manage the condition and support kidney health.",89,Q61.3,Q61.3,TRUE,TRUE,53.41,1,1,1,31.59,1.606136852,Q61,Q61,1,Q61,1,1,1.606136852
Renal Cortical Thinning,N26.1,"Renal cortical thinning is a condition where the outer layer of the kidney, called the cortex, becomes thinner than usual. This finding is often discovered incidentally during imaging tests like an ultrasound or CT scan. Patients should know that renal cortical thinning can be associated with aging or chronic kidney conditions, but it doesn't always cause symptoms or require treatment. It's important to maintain a healthy lifestyle, including staying hydrated and managing blood pressure, to support kidney health. If there are concerns about kidney function, further evaluation by a healthcare provider may be necessary.",94,N28.9,N28.9,FALSE,FALSE,43.93,0,0,0,41.07,0.004753981459,N26,N28,0,N28,0,0,0.004753981459
Renal Cyst with Septations,N28.1,"A renal cyst with septations is a fluid-filled sac found in the kidney that has thin walls or partitions inside it. These cysts are often discovered by chance during imaging tests for other reasons. Most of the time, they do not cause any symptoms and are not harmful. However, it's important to keep an eye on them because, in rare cases, they can change or grow. If you notice any symptoms like pain or blood in your urine, it's important to let your doctor know so they can decide if any further action is needed.",95,N28.1,N28.1,TRUE,TRUE,77.57,1,1,1,7.43,1.623724792,N28,N28,1,N28,1,1,1.623724792
Medullary Sponge Kidney,Q61.5,"Medullary Sponge Kidney is a condition where tiny cysts form in the tubes inside your kidneys. These cysts are usually harmless and often found by accident when you have an imaging test for another reason. Most people with Medullary Sponge Kidney don't have any symptoms and don't need treatment. However, some people might have kidney stones or urinary tract infections more often. It's important to drink plenty of water to help prevent kidney stones. If you have any symptoms like pain or blood in your urine, you should talk to your doctor.",92,Q61.5,Q61.5,TRUE,TRUE,72.87,1,1,1,12.13,1.615232292,Q61,Q61,1,Q61,1,1,1.615232292
Renal Artery Aneurysm,I72.4,"A renal artery aneurysm is a bulge in the wall of one of the arteries that supply blood to the kidneys. This is often found by accident during imaging tests for other reasons. Most of the time, these aneurysms do not cause symptoms and are not dangerous. However, if they grow large, they can pose a risk of rupture, which can be serious. It's important to monitor the size of the aneurysm with regular check-ups. If it becomes too large or causes symptoms, treatment options may be considered to prevent complications.",91,I72.4,I72.4,TRUE,TRUE,72.97,1,1,1,12.03,1.615349194,I72,I72,1,I72,1,1,1.615349194
Hepatic Cyst,K76.89,"A hepatic cyst is a fluid-filled sac found in the liver, often discovered by chance during imaging tests like an ultrasound or CT scan. These cysts are usually benign, meaning they are not cancerous, and they typically do not cause any symptoms. Most people with hepatic cysts do not need any treatment, and the cysts do not affect liver function. However, if a cyst becomes very large or causes discomfort, a doctor might suggest further evaluation. It's important to monitor for any changes, but generally, hepatic cysts are harmless.",89,K76.8,K76.89,TRUE,FALSE,53.41,1,0,0.5,31.59,0.8061368518,K76,K76,1,K76,1,1,1.606136852
Hepatic Hemangioma,D18.09,"A hepatic hemangioma is a common and benign tumor of the liver, often found by chance during imaging tests for other reasons. These are made up of a tangle of blood vessels and usually do not cause any symptoms or require treatment. Most people with a hepatic hemangioma will not experience any health problems from it. However, if it grows large, it might cause discomfort or pain in the abdomen. In such cases, further evaluation by a healthcare provider may be necessary to discuss possible management options.",87,D18.09,D18.09,TRUE,TRUE,53.81,1,1,1,31.19,1.60621311,D18,D18,1,D18,1,1,1.60621311
Hepatomegaly,R16.0,"Hepatomegaly means that your liver is larger than normal. This can be found during an imaging test like an ultrasound or CT scan. Often, a slightly enlarged liver doesn't cause any symptoms and might not be a problem. However, it can sometimes be a sign of an underlying condition, such as liver disease, heart problems, or infections. It's important to understand that having an enlarged liver doesn't automatically mean something serious, but it may require further evaluation to determine the cause and ensure your liver stays healthy.",87,R16.0,R16.0,TRUE,TRUE,53.81,1,1,1,31.19,1.60621311,R16,R16,1,R16,1,1,1.60621311
Liver Steatosis,K76.0,"Liver steatosis, also known as fatty liver, is when extra fat builds up in the liver. This is often found by accident during imaging tests. Most of the time, it doesn't cause any symptoms and doesn't need treatment. However, it's important to maintain a healthy lifestyle, including a balanced diet and regular exercise, to prevent it from getting worse. If you experience symptoms like tiredness or discomfort in the upper right side of your belly, it's a good idea to talk to your doctor.",84,K76.0,K76.0,TRUE,TRUE,62.88,1,1,1,22.12,1.608650519,K76,K76,1,K76,1,1,1.608650519
Liver Cirrhosis,K74.60,"Liver cirrhosis is a condition where the liver becomes scarred and its function is impaired. This can happen over time due to long-term damage from things like alcohol use or hepatitis. When the liver is scarred, it can't work as well to filter toxins from the blood, make proteins, or help with digestion. People with cirrhosis might feel tired, have yellowing of the skin (jaundice), or notice swelling in their legs. It's important to take care of your liver by avoiding alcohol and eating a healthy diet. Regular check-ups with your doctor can help manage the condition and prevent complications.",100,K74.60,K74.60,TRUE,TRUE,62.98,1,1,1,22.02,1.608688097,K74,K74,1,K74,1,1,1.608688097
