finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Septo-Optic Dysplasia,Q04.4,"Septo-Optic Dysplasia is a rare condition that some people are born with. It affects certain parts of the brain and the eyes. Imagine trying to build a puzzle but a couple of the pieces are missing. Sometimes, the part of the brain that affects the eyes doesn’t develop fully. This might make it hard for a person to see well, and they might need special glasses or other help. Some might also have trouble learning things as fast as other kids. Hormones, which are like messengers in our bodies, might not work properly too, affecting growth or energy levels.",Q04.4,Q04.2,False,True,74.08,0.0,1.0,10.920000000000002,0.816778523489933,2.984000000000001
Spinal Canal Stenosis,M48.0,"Spinal canal stenosis means the space inside your spine gets tight. This tight space can press on your nerves. Imagine trying to fit too many things into a small bag. The pressure can cause pain in your back, legs, or arms. Sometimes, you might feel tingling or weakness. Your spine is like a highway for nerve signals, and when it’s squeezed, signals might slow down. This might make it hard to walk or stand for long. It’s important to know that many people have this and doctors can help you feel better.",M48.0,M48.0,True,True,93.64,1.0,1.0,8.64,1.620746887966805,-0.1280000000000001
Thalamic Gliosis,R90.89,"Thalamic gliosis is when the thalamus in the brain changes. The thalamus helps messages move through the brain, like a stoplight for information. Gliosis is where certain brain cells, called glial cells, start working more, sometimes after an injury. This is like a scar that forms when your skin heals after a cut. These busy cells help clean and protect the brain. Even though thalamic gliosis may not cause any symptoms, knowing about it can help doctors learn more about what's happening in the brain.",R90.89,G93.89,False,True,73.98,0.0,1.0,11.019999999999996,0.8166389351081531,3.0039999999999996
Trigeminal Neuralgia,G50.0,"Trigeminal neuralgia is a condition that affects a nerve in your face called the trigeminal nerve. This nerve helps you feel things on your face, like touch or pain. If you have trigeminal neuralgia, you might feel sharp pains in your face, like your jaw or cheek or near your eyes. It feels like sudden zaps of electricity. It can hurt a lot, even when brushing your teeth or while eating. Although it's not dangerous, it can be annoying, and people try different ways to feel better.",G50.0,G50.0,True,True,82.14,1.0,1.0,2.8599999999999994,1.6518134715025907,2.172
Ulegyria,Q04.3,"Ulegyria is a change in the brain that looks like tiny waves or grooves. It often happens if a baby doesn't get enough oxygen during birth. Imagine the brain like a sponge. If you press on it, some parts will get wrinkled. These wrinkled parts might not work as well. This can make it hard for a person to think, move, or talk sometimes. But every person is different, and the effects can be light or more obvious. It's important to know people can live with this condition, and support can help handle it better.",Q04.3,P91.2,False,True,84.78,0.0,1.0,0.21999999999999886,0.9639344262295084,0.8439999999999999
Cystic Craniopharyngioma,D33.1,"A cystic craniopharyngioma is a bump in your brain filled with liquid, like a water balloon. It's not dangerous like cancer. This bump grows slowly in a part of the brain that helps with things like seeing. Doctors usually find it by accident when taking pictures of the brain. Most of the time, the bump doesn’t cause any problems. It's like a harmless bubble that the doctor wants to watch to make sure it stays okay. Think of it as a gentle bump that doesn’t usually bother you or cause pain.",D33.1,D44.4,False,True,83.66,0.0,1.0,1.3400000000000034,0.8854700854700854,1.0680000000000007
Heterotopia,Q04.6,"Heterotopia is when some brain cells don't go where they should. Imagine if puzzle pieces didn't fit right with other pieces. These cells should be in certain places, but they aren't. This happens before a baby is born, while the brain is growing. Usually, these misplaced cells don't cause problems. Still, they might cause seizures or learning issues sometimes. Doctors usually find this when they take special pictures of the brain, like with an MRI machine. Most people with heterotopia are okay and live normal lives.",Q04.6,Q04.3,False,True,85.89,0.0,1.0,0.8900000000000006,0.9058201058201059,0.6219999999999999
Ischemic White Matter Disease,R90.82 ,"Ischemic White Matter Disease is when some parts of the brain, called ""white matter,"" don't get enough blood. White matter helps your brain send messages back and forth, like a phone call. If blood flow is low, it's like the phone line gets fuzzy. It means the messages might not work as well. You may not feel anything right away, but it’s good for your doctor to check it. Think of it like lawn patches that turn brown; looking at them helps the gardener know when to water. Checking your brain helps doctors keep you healthy.",R90.82,I67.3,False,False,91.41,0.0,0.0,6.409999999999997,0.026990553306342792,-1.2819999999999994
Juvenile Pilocytic Astrocytoma,D33.1,"A juvenile pilocytic astrocytoma is a kind of lump in the brain. It's common in kids. Think of it like a small bump that doesn't spread or cause cancer. This is good news. When doctors check it out closely, they find it has tiny hair-like strings. It grows slowly, like watching grass grow. Sometimes, if it bothers you, doctors might do a surgery to remove it. But most of the time, kids feel much better after getting help. It’s like taking care of a problem so it doesn’t become a big deal.",D33.1,D33.1,True,True,86.5,1.0,1.0,1.5,1.6800000000000002,1.3
Moyamoya Disease,I67.5,"Moyamoya Disease is a rare condition that can affect the blood vessels in your brain. Think of these blood vessels like tiny roads. Normally, they are open and blood can flow easily to different parts of the brain. But in Moyamoya, these roads get very narrow, almost like squeezing a straw. This makes it hard for blood to pass through. 'Moyamoya' means 'puff of smoke' because the tiny vessels look like smoke on pictures. It's important because the brain needs enough blood to work well. Doctors use special tests to learn more and help manage this.",I67.5,I67.5,True,True,84.68,1.0,1.0,0.3199999999999932,1.7515151515151524,1.6639999999999988
