finding,ICD10_code,PFx,Word Count,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,GT_Trimmed,Agent_Trimmed,relaxed_accuracy_agent_icd10,pfx_icd10_trimmed,relaxed_accuracy_pfx_icd10,relaxed_accuracy,relaxed_overall_score
Bladder Wall Thickening,R93.4,"Bladder wall thickening means that the walls of your bladder, which is the organ that holds urine, are thicker than usual. This can happen for a few reasons, like if your bladder is working harder to push urine out, or if there's some irritation or inflammation. Sometimes, it might not cause any problems, but other times it could be a sign of something like an infection or a blockage. It's important to keep an eye on it and talk to your doctor if you notice any changes in how you urinate.",91,N32.89,N32.89,FALSE,FALSE,73.71,0,0,0,11.29,0.016273393,R93,N32,0,N32,0,0,0.016273393
Bladder Stone,N21.0,"A bladder stone is a hard lump that forms in your bladder. It happens when minerals in your urine clump together. Sometimes, you might not even know you have one because it doesn't always cause problems. But if it gets big or moves around, it can hurt or make it hard to pee. You might feel pain in your lower belly, or notice blood in your urine. Drinking lots of water can help prevent them. If you have symptoms, a doctor can help you figure out what to do next.",90,R30.0,N21.0,TRUE,FALSE,92.22,1,0,0.5,7.22,0.8243309002,N21,N21,1,R30,0,0.5,0.8243309002
Bladder Cyst,R93.4,"A bladder cyst is like a small bubble or sac that forms in the bladder, which is the organ that holds urine. Most of the time, these cysts are not harmful and don't cause any symptoms. They are often found by accident when doctors are looking at the bladder for other reasons. If you have a bladder cyst, it usually doesn't need treatment unless it causes problems like pain or trouble urinating. It's important to keep an eye on it and let your doctor know if you notice any changes.",90,R93.49,N32.89,FALSE,FALSE,78.59,0,0,0,6.41,0.02699055331,R93,N32,0,R93,1,0.5,0.8269905533
Bladder Calculus,N21.0,"A bladder calculus is a hard stone that forms in your bladder. It happens when minerals in your urine clump together and harden. This can occur if your bladder doesn't empty completely when you urinate. These stones can cause pain, make it hard to pee, or lead to infections. Drinking plenty of water can help prevent them by keeping your urine diluted. If you have symptoms like pain in your lower belly or trouble peeing, it's important to talk to your doctor. They can help find the best way to treat it.",92,N21.0,N21.0,TRUE,TRUE,75.1,1,1,1,9.9,1.618348624,N21,N21,1,N21,1,1,1.618348624
Bladder Cancer,C67.9,"Bladder cancer is when some cells in your bladder, which is the organ that holds your pee, start to grow in a way that isn't normal. These cells can form a lump called a tumor. Sometimes, this can make it hard to pee or cause blood in your pee. It's important to talk to your doctor about what this means for you and what steps you might need to take next. They can help you understand your options and what treatments might be best for you.",86,C67,C67.9,TRUE,FALSE,87.86,1,0,0.5,2.86,0.8518134715,C67,C67,1,C67,1,1,1.651813472
Bladder Diverticula,N32.3,"Bladder diverticula are like small pouches that form in the wall of your bladder. Imagine your bladder is like a balloon, and these pouches are little bubbles that stick out from it. They can happen when the bladder wall gets weak or if there's too much pressure inside the bladder. Sometimes, these pouches don't cause any problems, but other times they can make it hard to empty your bladder completely. This might lead to infections or other issues. It's important to keep an eye on them and talk to your doctor if you notice any changes.",96,R39.9,N32.3,TRUE,FALSE,72.16,1,0,0.5,12.84,0.8144508671,N32,N32,1,R39,0,0.5,0.8144508671
Neurogenic Bladder,N31.9,"A neurogenic bladder is when the nerves that help control the bladder don't work the way they should. This can make it hard to know when you need to go to the bathroom or to hold your pee until you get there. Sometimes, it can cause leaks or make it hard to empty your bladder all the way. It's like when a phone has a bad connection and doesn't work right. Doctors can help with treatments or exercises to make it better.",82,R39.15,N31.9,TRUE,FALSE,88.67,1,0,0.5,3.67,0.8428265525,N31,N31,1,R39,0,0.5,0.8428265525
Gallbladder Polyps,K82.4,"Gallbladder polyps are small growths that form on the inside of your gallbladder. The gallbladder is a small organ that helps with digestion by storing bile, a fluid made by the liver. Most of the time, these polyps are not harmful and don't cause any symptoms. They are often found by accident during tests for other issues. It's important to keep an eye on them because, in rare cases, they can turn into something more serious. Your doctor might suggest regular check-ups to make sure the polyps don't change or grow.",91,Z13.89,K82.4,TRUE,FALSE,72.97,1,0,0.5,12.03,0.8153491942,K82,K82,1,Z13,0,0.5,0.8153491942
Cholelithiasis,K80.20,"Cholelithiasis means you have gallstones. Gallstones are small, hard pieces that form in your gallbladder, which is a small organ under your liver. They can be made of cholesterol or other things. Sometimes, gallstones don't cause any problems, and you might not even know you have them. But if they block a duct, they can cause pain in your belly, especially on the right side, or even in your back. You might also feel sick to your stomach or throw up. It's important to know about them so you can watch for any symptoms.",94,Z13.89,K80.20,TRUE,FALSE,91.71,1,0,0.5,6.71,0.8259403372,K80,K80,1,Z13,0,0.5,0.8259403372
Gallstones,K80.20,"Gallstones are small, hard pieces that form in your gallbladder, which is a small organ under your liver. They are made from things like cholesterol and can be as tiny as a grain of sand or as big as a golf ball. Sometimes, gallstones don't cause any problems, and you might not even know you have them. But if they block a duct, they can cause pain in your belly, especially on the right side, and might make you feel sick. It's important to pay attention to any pain or discomfort and let your doctor know.",96,Z87.891,K80.20,TRUE,FALSE,85.83,1,0,0.5,0.83,0.9092896175,K80,K80,1,Z87,0,0.5,0.9092896175
Gallbladder Sludge,R93.2,"Gallbladder sludge is a thick, gooey substance that can build up in your gallbladder. The gallbladder is a small organ that sits under your liver and helps with digestion by storing bile, a fluid made by the liver. Sometimes, this bile can become thick and form sludge. This isn't usually a big problem, but it can sometimes lead to gallstones or other issues. You might not even feel any symptoms, but if you do, it could be mild pain in your upper belly or nausea. It's important to keep an eye on it with your doctor.",96,R19.8,K82.8,FALSE,FALSE,80.62,0,0,0,4.38,0.03717472119,R93,K82,0,R19,0,0,0.03717472119
Gallbladder Wall Thickening,K81.9,"The gallbladder is a small organ that helps with digestion by storing bile, a fluid made by the liver. Sometimes, the wall of the gallbladder can become thicker than normal. This thickening can happen for different reasons, like inflammation, infection, or other conditions. It might not cause any symptoms, but it's important to know about it because it can sometimes lead to problems like pain or digestive issues. If you have any concerns or notice any changes, it's a good idea to talk to your doctor for more information.",89,R93.3,K82.8,FALSE,FALSE,61.87,0,0,0,23.13,0.00828843763,K81,K82,0,R93,0,0,0.00828843763
Gallbladder Tumor,D37.6,"A gallbladder tumor is a growth in the gallbladder, which is a small organ under your liver that helps with digestion. Sometimes, these tumors are not cancerous, but they can still cause problems. You might not feel any symptoms at first, but as the tumor grows, it could cause pain in your belly, nausea, or jaundice, which is when your skin or eyes turn yellow. It's important to talk to your doctor about what this means for you and what steps to take next.",84,R68.89,D13.4,FALSE,FALSE,75.54,0,0,0,9.46,0.01912045889,D37,D13,0,R68,0,0,0.01912045889
Adenomyomatosis,K82.8,"Adenomyomatosis is a condition where the walls of your gallbladder, which is a small organ that helps with digestion, become thicker than usual. This thickening happens because of tiny pockets or pouches that form in the gallbladder wall. These pouches are not cancerous and usually don't cause any symptoms. Most people with adenomyomatosis don't even know they have it because it doesn't usually cause problems. It's often found by accident when doctors are looking at your gallbladder for other reasons, like during an ultrasound or other imaging tests.",88,R93.3,K82.4,FALSE,FALSE,53.61,0,0,0,31.39,0.006174745292,K82,K82,1,R93,0,0.5,0.8061747453
Porcelain Gallbladder,K82.8,"A porcelain gallbladder is when the walls of your gallbladder become hard and look like porcelain. This happens because calcium builds up in the gallbladder walls. The gallbladder is a small organ that helps with digestion by storing bile, a fluid made by the liver. When the walls get hard, it can sometimes lead to problems, like gallbladder cancer. It's important to keep an eye on it, even if it doesn't hurt or cause symptoms right now. Your doctor might want to check it regularly to make sure everything stays okay.",91,Z13.89,K82.8,TRUE,FALSE,72.97,1,0,0.5,12.03,0.8153491942,K82,K82,1,Z13,0,0.5,0.8153491942
Gallbladder Agenesis,Q44.0,"Gallbladder agenesis means that a person was born without a gallbladder. The gallbladder is a small organ that helps with digestion by storing bile, a fluid made by the liver. Some people might not even know they don't have a gallbladder because they feel fine and have no symptoms. Others might have tummy aches or feel sick after eating fatty foods. It's important to eat a healthy diet and talk to a doctor if you have any discomfort. Remember, many people live healthy lives without a gallbladder.",87,Z87.89,Q44.0,TRUE,FALSE,73.68,1,0,0.5,11.32,0.8162337662,Q44,Q44,1,Z87,0,0.5,0.8162337662
Intestinal Polyp,K63.5,"An intestinal polyp is a small growth that can form on the inside of your intestines. Think of it like a tiny bump or a small mushroom growing on the wall of your intestines. Most of the time, these polyps are not harmful and don't cause any problems. However, sometimes they can grow bigger or change over time. It's important to keep an eye on them because, in some cases, they might turn into something more serious. Doctors usually find them during tests like a colonoscopy, which is a special camera that looks inside your intestines.",96,Z13.79,K63.5,TRUE,FALSE,80.62,1,0,0.5,4.38,0.8371747212,K63,K63,1,Z13,0,0.5,0.8371747212
Diverticulosis,K57.30,"Diverticulosis is a condition where small pouches, called diverticula, form in the wall of your colon. These pouches are like little pockets that bulge out. Most people with diverticulosis don't have any symptoms and might not even know they have it. It's often found during tests for other issues. Eating a diet high in fiber, like fruits, vegetables, and whole grains, can help keep your colon healthy. Drinking plenty of water and staying active are also good for your digestive system. If you ever feel pain or discomfort in your belly, let your doctor know.",95,Z71.89,K57.30,TRUE,FALSE,66.13,1,0,0.5,18.87,0.8100654253,K57,K57,1,Z71,0,0.5,0.8100654253
Appendicitis,K35.80,"Appendicitis is when your appendix, a small tube attached to your large intestine, gets swollen and painful. It can happen to anyone, but it's more common in kids and young adults. You might feel a sharp pain in your lower right belly, and you could also have a fever, feel sick to your stomach, or throw up. It's important to get it checked because if it bursts, it can cause serious problems. Doctors usually treat it by removing the appendix with surgery, which helps you feel better quickly.",88,K35.80,K35.80,TRUE,TRUE,78.99,1,1,1,6.01,1.62853067,K35,K35,1,K35,1,1,1.62853067
Ileus,K56.7,"Ileus is a condition where your intestines, which are part of your digestive system, stop moving food and waste through your body like they should. This can happen for different reasons, like after surgery or if there's an infection. When your intestines don't move, it can cause your belly to feel bloated and painful. You might also feel sick to your stomach or throw up. It's important to pay attention to these symptoms because they can make you feel very uncomfortable. Doctors can help by figuring out what's causing the problem and how to get your intestines moving again.",99,R19.8,K56.7,TRUE,FALSE,71.65,1,0,0.5,13.35,0.8139372822,K56,K56,1,R19,0,0.5,0.8139372822
Bowel Wall Thickening,R93.3,"Bowel wall thickening means that the walls of your intestines are thicker than usual. This can happen for different reasons, like inflammation, infection, or other conditions. Think of it like a garden hose that has thicker walls than normal. It might make it harder for things to move through smoothly. Sometimes, it can cause belly pain or changes in your bathroom habits. It's important to keep an eye on it and talk to your doctor if you notice any new symptoms or if you have any concerns.",87,R19.8,K63.89,FALSE,FALSE,73.68,0,0,0,11.32,0.01623376623,R93,K63,0,R19,0,0,0.01623376623
Intussusception,K56.1,"Intussusception is when a part of the intestine slides into another part, like a telescope. This can cause a blockage in the intestines. It might make your belly hurt a lot, and you could feel sick or throw up. Sometimes, you might see blood in your poop. It's more common in young children, but it can happen to adults too. Doctors can often fix it with a special procedure or surgery. It's important to get help quickly if you have these symptoms.",82,R10.9,K56.1,TRUE,FALSE,84.98,1,0,0.5,0.02,0.9960784314,K56,K56,1,R10,0,0.5,0.9960784314
Crohn's Disease,K50.90,"Crohn's Disease is a condition that causes inflammation in your digestive system, which can make your stomach and intestines feel sore and uncomfortable. It can lead to symptoms like stomach pain, diarrhea, and feeling very tired. Sometimes, you might not feel like eating, and you could lose weight. It's important to pay attention to how your body feels and talk to your doctor about any changes. They can help you manage the symptoms and find ways to feel better, like through medicine or changes in your diet.",87,K50.90,K50.90,TRUE,TRUE,70.73,1,1,1,14.27,1.613097577,K50,K50,1,K50,1,1,1.613097577
Intestinal Wall Thickening,R93.3,"Intestinal wall thickening means that the walls of your intestines, which are part of your digestive system, have become thicker than usual. This can happen for different reasons, like inflammation, infection, or other conditions. Think of it like a garden hose that has thicker walls than normal. It might make it harder for food to pass through smoothly. Sometimes, it doesn't cause any problems, but other times it might lead to symptoms like stomach pain or changes in your bowel habits. It's important to keep an eye on it and talk to your doctor if you notice any changes.",99,R19.8,K63.89,FALSE,FALSE,71.65,0,0,0,13.35,0.01393728223,R93,K63,0,R19,0,0,0.01393728223
Colonic Diverticula,K57.30,"Colonic diverticula are small pouches that can form in the wall of your colon, which is part of your large intestine. Think of them like tiny pockets that bulge out. They are quite common, especially as people get older, and many people have them without even knowing it because they often don't cause any symptoms. However, if these pouches become inflamed or infected, it can lead to a condition called diverticulitis, which can cause pain and other symptoms. It's important to eat a healthy diet with plenty of fiber to help keep your colon healthy.",95,Z13.820,K57.30,TRUE,FALSE,69.11,1,0,0.5,15.89,0.8118413262,K57,K57,1,Z13,0,0.5,0.8118413262
Colonic Polyp,K63.5,"A colonic polyp is a small growth that can form on the inside of your colon, which is part of your large intestine. Think of it like a tiny bump or mushroom growing on the wall of your colon. Most of the time, these polyps are harmless and don't cause any problems. However, some polyps can turn into cancer over time if they're not removed. Doctors often find them during a test called a colonoscopy. If you have a polyp, your doctor might want to remove it to make sure it doesn't cause any issues later.",96,Z12.11,K63.5,TRUE,FALSE,89.08,1,0,0.5,4.08,0.8393700787,K63,K63,1,Z12,0,0.5,0.8393700787
Mesenteric Cyst,R93.3,"A mesenteric cyst is a fluid-filled sac that forms in the belly area, specifically in the tissue that holds your intestines in place. These cysts are not very common and are usually found by accident when doctors are looking at your belly for other reasons. Most of the time, they don't cause any problems and you might not even know you have one. However, if the cyst gets too big, it can cause pain or make you feel bloated. If that happens, doctors might need to remove it to make you feel better.",93,R19.00,D73.3,FALSE,FALSE,77.98,0,0,0,7.02,0.02493765586,R93,D73,0,R19,0,0,0.02493765586
Intestinal Stricture,K56.60,"An intestinal stricture is like a narrow road in your intestines. Imagine if a road was too tight for cars to pass through easily. In your body, this means food and waste might have a hard time moving through your intestines. This can cause belly pain, bloating, or make it hard to go to the bathroom. Sometimes, it happens because of swelling or scar tissue. Doctors can help by finding out why it's happening and deciding the best way to make the 'road' wider again so everything can move smoothly.",90,K56.60,K56.60,TRUE,TRUE,81.63,1,1,1,3.37,1.64576659,K56,K56,1,K56,1,1,1.64576659
Simple Renal Cyst,N28.1,"A simple renal cyst is like a small, fluid-filled bubble that forms in your kidney. It's not harmful and usually doesn't cause any problems. Think of it as a tiny water balloon that sits quietly in your kidney. Most people don't even know they have one because it doesn't hurt or make you sick. Doctors often find these cysts by accident when they're looking at your kidneys for other reasons. You don't need to worry about it, and it usually doesn't need any treatment.",84,Z13.89,N28.1,TRUE,FALSE,74.19,1,0,0.5,10.81,0.816934801,N28,N28,1,Z13,0,0.5,0.816934801
Angiomyolipoma,D30.0,"An angiomyolipoma is a type of non-cancerous tumor that usually forms in the kidneys. It's made up of blood vessels, muscle, and fat. Most of the time, these tumors don't cause any problems and people don't even know they have them. However, if they grow too large, they might cause pain or bleeding. Doctors often find them by accident when doing tests for other reasons. If you have an angiomyolipoma, your doctor will keep an eye on it to make sure it doesn't cause any issues.",86,Z13.89,D30.0,TRUE,FALSE,82.34,1,0,0.5,2.66,0.8546448087,D30,D30,1,Z13,0,0.5,0.8546448087
Hydronephrosis,N13.30,"Hydronephrosis is a condition where one or both of your kidneys become swollen because urine can't drain properly. Think of your kidney like a balloon that fills with water. If the water can't get out, the balloon gets bigger and bigger. This can happen if there's a blockage or something pressing on the tubes that carry urine from the kidney to the bladder. It might not cause any symptoms at first, but if it gets worse, it can lead to pain, infections, or kidney damage. It's important to find out what's causing it so it can be treated.",98,N13.30,N13.30,TRUE,TRUE,80.31,1,1,1,4.69,1.635149385,N13,N13,1,N13,1,1,1.635149385
Kidney Stones,N20.0,"Kidney stones are small, hard deposits that form in your kidneys. They can be as tiny as a grain of sand or as big as a golf ball. These stones are made of minerals and salts. Sometimes, they can cause pain when they move through your urinary tract. Drinking lots of water can help prevent them. If you feel pain in your back or side, or if you have trouble peeing, it might be because of kidney stones. It's important to stay hydrated and eat a balanced diet to help keep your kidneys healthy.",94,Z72.0,N20.0,TRUE,FALSE,91.71,1,0,0.5,6.71,0.8259403372,N20,N20,1,Z72,0,0.5,0.8259403372
Renal Atrophy,N26.1,"Renal atrophy means that your kidneys have become smaller than normal. This can happen for a few reasons, like if they aren't getting enough blood or if there is damage over time. When kidneys shrink, they might not work as well as they should. This can lead to problems because kidneys help clean your blood and balance fluids in your body. It's important to keep an eye on this condition to make sure your kidneys stay as healthy as possible.",80,N26.1,N26.1,TRUE,TRUE,80.62,1,1,1,4.38,1.637174721,N26,N26,1,N26,1,1,1.637174721
Renal Mass,R93.4,"A renal mass is a lump or growth found in the kidney. It can be something harmless, like a cyst, or it could be more serious, like a tumor. Sometimes, these masses are found by accident when you're having tests for something else. It's important to know that not all kidney masses are cancerous. Doctors usually do more tests to find out what kind of mass it is. They might use imaging tests like an ultrasound or a CT scan to get a better look at the kidney.",88,R93.4,N28.9,FALSE,TRUE,81.93,0,1,0.5,3.07,0.8491400491,R93,N28,0,R93,1,0.5,0.8491400491
Polycystic Kidney Disease,Q61.3,"Polycystic Kidney Disease is a condition where clusters of fluid-filled sacs, called cysts, develop in the kidneys. These cysts can make the kidneys larger and affect how well they work. It's like having little water balloons inside your kidneys. Over time, these cysts can cause the kidneys to not work as well as they should. This condition can be passed down from parents to children, so it might run in families. It's important to keep an eye on kidney health and talk to a doctor about any concerns.",88,Z82.71,Q61.3,TRUE,FALSE,73.47,1,0,0.5,11.53,0.8159616919,Q61,Q61,1,Z82,0,0.5,0.8159616919
Renal Cortical Thinning,N26.1,"Renal cortical thinning means that the outer layer of your kidneys, called the cortex, is getting thinner than usual. This part of the kidney is important because it helps filter waste and extra water from your blood to make urine. When the cortex gets thinner, it might not work as well as it should. This can happen for different reasons, like aging, high blood pressure, or kidney disease. It's important to keep an eye on your kidney health and talk to your doctor about any concerns you might have.",89,N28.9,N28.9,FALSE,FALSE,70.33,0,0,0,14.67,0.01276324186,N26,N28,0,N28,0,0,0.01276324186
Renal Cyst with Septations,N28.1,"A renal cyst with septations is like a small, fluid-filled bubble in your kidney that has some thin walls inside it. These walls are called septations. Most of the time, these cysts are harmless and don't cause any problems. They are quite common, especially as people get older. However, sometimes doctors like to keep an eye on them to make sure they don't change or cause any issues. It's important to stay healthy and drink plenty of water to keep your kidneys working well.",84,Z13.89,N28.1,TRUE,FALSE,82.65,1,0,0.5,2.35,0.8597014925,N28,N28,1,Z13,0,0.5,0.8597014925
Medullary Sponge Kidney,Q61.5,"Medullary Sponge Kidney is a condition where tiny cysts form in the inner part of your kidneys. These cysts are like small, fluid-filled sacs. They can make it harder for your kidneys to work properly. Sometimes, people with this condition might have kidney stones or blood in their urine. It is usually something you are born with, and it might not cause any problems for a long time. If you have this condition, it's important to drink plenty of water to help your kidneys stay healthy.",86,N28.89,Q61.5,TRUE,FALSE,82.34,1,0,0.5,2.66,0.8546448087,Q61,Q61,1,N28,0,0.5,0.8546448087
Renal Artery Aneurysm,I72.4,"A renal artery aneurysm is when a blood vessel in your kidney has a bulge or balloon-like shape. This happens because the wall of the blood vessel is weak. It's like when a balloon gets too much air and starts to stretch out. Most of the time, people don't feel any different or have any symptoms. But it's important to know about it because if the bulge gets too big, it could cause problems. Doctors usually find it by accident when they're looking at pictures of your kidneys for other reasons.",91,Z13.6,I72.2,FALSE,FALSE,81.43,0,0,0,3.57,0.04376367615,I72,I72,1,Z13,0,0.5,0.8437636761
Hepatic Cyst,K76.89,"A hepatic cyst is like a small, fluid-filled bubble that forms in the liver. It's usually harmless and doesn't cause any symptoms. Think of it as a tiny water balloon inside your liver. Most people don't even know they have one because it doesn't hurt or make you sick. Doctors often find these cysts by accident when they're looking at your liver for other reasons. You don't need to worry about it, but it's good to know it's there. If it ever causes problems, your doctor will let you know what to do.",93,Z13.89,K76.89,TRUE,FALSE,83.36,1,0,0.5,1.64,0.8757575758,K76,K76,1,Z13,0,0.5,0.8757575758
Hepatic Hemangioma,D18.09,"A hepatic hemangioma is a small, non-cancerous growth in the liver. It's like a tiny cluster of blood vessels that have formed a bump. Most of the time, these bumps don't cause any problems and people don't even know they have them. They are usually found by accident when doctors are looking at the liver for other reasons. You don't need to worry about them because they rarely cause any symptoms or need treatment. It's just something to be aware of, like a harmless freckle inside your body.",88,Z03.89,D18.09,TRUE,FALSE,81.93,1,0,0.5,3.07,0.8491400491,D18,D18,1,Z03,0,0.5,0.8491400491
Hepatomegaly,R16.0,"Hepatomegaly means that your liver is larger than normal. The liver is an important organ that helps your body process food and get rid of waste. When it gets bigger, it might be because of different reasons like infections, too much fat, or other health issues. Sometimes, you might not feel any different, but other times, you could feel tired or have pain in your belly. It's important to find out why your liver is bigger so that you can get the right care and feel better.",87,R16.0,R16.0,TRUE,TRUE,79.19,1,1,1,5.81,1.629368576,R16,R16,1,R16,1,1,1.629368576
Liver Steatosis,K76.0,"Liver steatosis, also known as fatty liver, means that there is extra fat in your liver. Your liver is an important organ that helps clean your blood and make energy for your body. When there is too much fat in the liver, it can make it harder for the liver to do its job. This condition is often caused by things like eating too much unhealthy food, not getting enough exercise, or drinking too much alcohol. It's important to try to eat healthy foods, stay active, and avoid too much alcohol to help your liver stay healthy.",97,Z72.4,K76.0,TRUE,FALSE,77.16,1,0,0.5,7.84,0.8226244344,K76,K76,1,Z72,0,0.5,0.8226244344
Liver Cirrhosis,K74.60,"Liver cirrhosis is a condition where the liver gets scarred and doesn't work as well as it should. The liver is an important organ that helps clean your blood, make proteins, and store energy. When it gets damaged over time, it can form scars, which makes it hard for the liver to do its job. This can happen because of things like drinking too much alcohol or having a long-term infection. It's important to take care of your liver by eating healthy, avoiding alcohol, and following your doctor's advice.",89,Z72.89,K74.60,TRUE,FALSE,70.33,1,0,0.5,14.67,0.8127632419,K74,K74,1,Z72,0,0.5,0.8127632419
Liver Mass,R16.2,"A liver mass is a lump or growth in your liver. The liver is an important organ that helps clean your blood and digest food. Sometimes, these masses are harmless and don't cause any problems. Other times, they might need more attention. It's like finding a bump on your skin; it could be nothing, or it might need a closer look. Doctors usually find liver masses during tests for other things. If you have a liver mass, your doctor will decide if it needs more tests or treatment.",88,Z13.89,R16.0,FALSE,FALSE,84.07,0,0,0,0.93,0.103626943,R16,R16,1,Z13,0,0.5,0.903626943
Hepatic Adenoma,D13.4,"A hepatic adenoma is a non-cancerous growth in the liver. It's like a small lump or bump that forms in the liver tissue. These growths are usually not harmful and don't cause symptoms. However, sometimes they can grow larger or cause pain. It's important to keep an eye on them to make sure they don't change. If you have a hepatic adenoma, your doctor might want to check it regularly with imaging tests like an ultrasound or MRI to ensure it stays the same and doesn't cause any problems.",89,Z13.89,D13.4,TRUE,FALSE,73.37,1,0,0.5,11.63,0.8158353127,D13,D13,1,Z13,0,0.5,0.8158353127
